House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Hahndorf	1474	430	29.17	1044	70.83	-
Harrogate	113	41	36.28	72	63.72	-
Highbury East	1292	595	46.05	697	53.95	-
Highbury South	3601	1486	41.27	2115	58.73	-
Holden Hill (Mayo)	1146	599	52.27	547	47.73	-
Houghton	550	191	34.73	359	65.27	-
Kangarilla	488	150	30.74	338	69.26	-
Langhorne Creek	229	38	16.59	191	83.41	-
Lenswood	411	107	26.03	304	73.97	-
Littlehampton	1178	436	37.01	742	62.99	-
Lobethal	1105	337	30.5	768	69.5	-
Longwood	303	131	43.23	172	56.77	-
Macclesfield	649	275	42.37	374	57.63	-
Magill (Mayo)	1403	607	43.26	796	56.74	-
Meadows	832	314	37.74	518	62.26	-
Montacute	173	75	43.35	98	56.65	-
Mount Barker	4018	1435	35.71	2583	64.29	-
Mylor	643	268	41.68	375	58.32	-
Nairne	1541	677	43.93	864	56.07	-
Newton	1538	858	55.79	680	44.21	-
Norton Summit	527	202	38.33	325	61.67	-
Paracombe	264	72	27.27	192	72.73	-
Paradise	1968	1083	55.03	885	44.97	-
Paradise West	947	512	54.07	435	45.93	-
Piccadilly	405	144	35.56	261	64.44	-
Prospect Hill	109	29	26.61	80	73.39	-
Rostrevor	2718	1215	44.7	1503	55.3	-
Special Hospital Team 1	128	32	25	96	75	-
Special Hospital Team 2	140	51	36.43	89	63.57	-
Stirling East	1019	378	37.1	641	62.9	-
Stirling West	1785	707	39.61	1078	60.39	-
Strathalbyn	2223	746	33.56	1477	66.44	-
Summertown	699	266	38.05	433	61.95	-
Upper Sturt	549	231	42.08	318	57.92	-
Uraidla	458	164	35.81	294	64.19	-
Woodchester	261	96	36.78	165	63.22	-
Woodforde	576	216	37.5	360	62.5	-
Woodside	1146	355	30.98	791	69.02	-
ABSENT	7422	3000	40.42	4422	59.58	-
POSTAL	4335	1571	36.24	2764	63.76	-
PRE POLL	4820	1893	39.27	2927	60.73	-
PROVISIONAL	487	227	46.61	260	53.39	-
Division Total	83791	33602	40.1	50189	59.9	5.26


Port Adelaide						

Polling Place	Formal	SAWFORD		CAVUOTO		Swing
	Votes	(ALP)	%	(LP)	%	%
Adelaide (Port Adelaide)	77	50	64.93	27	35.06	5.89
Albert Park	881	550	62.43	331	37.57	7.52
Allenby Gardens	952	686	72.06	266	27.94	11.04
Angle Park	1923	1611	83.78	312	16.22	14.04
Beverley	641	468	73.01	173	26.99	9.16
Birkenhead	1815	1405	77.41	410	22.59	8.3
Cheltenham	1335	853	63.9	482	36.1	7.42
Croydon Park West (Port Adelaide	349	259	74.21	90	25.79	14.85
Ethelton	853	606	71.04	247	28.96	8.78
Ferryden Park	1161	992	85.44	169	14.56	11.43
Findon	1521	996	65.48	525	34.52	10.08
Findon North	1007	670	66.53	337	33.47	12.16
Grange	3083	1596	51.77	1487	48.23	7.31
Kilkenny	1024	708	69.14	316	30.86	12.71
Largs Bay	2920	1993	68.25	927	31.75	10.73
Largs Bay Central	858	531	61.89	327	38.11	13.02
North Haven	2239	1385	61.86	854	38.14	8.46
Ottoway	1477	1141	77.25	336	22.75	17
Pennington	1543	1249	80.95	294	19.05	13.55
Port Adelaide	506	364	71.94	142	28.06	5.74
Queenstown	1573	1104	70.18	469	29.82	11.53
Rosewater	1960	1462	74.59	498	25.41	11.13
Royal Park	1873	1232	65.78	641	34.22	13.86
Royal Park South	1754	1136	64.77	618	35.23	10.75
Seaton	2015	1218	60.45	797	39.55	7.17
Seaton Park	2243	1416	63.13	827	36.87	5.03
Seaton West	1135	575	50.66	560	49.34	6.59
Semaphore	1753	1179	67.26	574	32.74	7.37
Semaphore Park	1223	781	63.86	442	36.14	8.76
Semaphore Park South	1164	863	74.14	301	25.86	14.99
Semaphore South	1072	689	64.27	383	35.73	11
Special Hospital Team 1	76	48	63.16	28	36.84	-2.36
Special Hospital Team 2	52	42	80.77	10	19.23	26.42
Special Hospital Team 3	81	44	54.32	37	45.68	-11.13
Special Hospital Team 4	44	31	70.45	13	29.55	5.75
Special Hospital Team 5	115	79	68.7	36	31.3	15.47
Taperoo	2441	1749	71.65	692	28.35	9.41
Taperoo East	1213	1006	82.93	207	17.07	10.92
West Croydon (Port Adelaide)	902	613	67.96	289	32.04	5.53
West Lakes Shore	4234	1738	41.05	2496	58.95	5.46
Woodville	1533	931	60.73	602	39.27	7.99
Woodville Gardens	2298	1954	85.03	344	14.97	11.62
Woodville North	1215	837	68.89	378	31.11	12.99
Woodville South	1660	1021	61.51	639	38.49	9.42
Woodville West	1695	1084	63.95	611	36.05	10.51
ABSENT	4611	2879	62.44	1732	37.56	-
POSTAL	4167	2660	63.83	1507	36.17	-
PRE POLL	3279	2041	62.24	1238	37.76	-
PROVISIONAL	741	582	78.54	159	21.46	-
Division Total	74287	49107	66.1	25180	33.9	9.06


Sturt						

Polling Place	Formal	WORRALL		PYNE		Swing
	Votes	(ALP)	%	(LP)	%	%
Adelaide (Sturt)	99	58	58.59	41	41.41	7.05
Beaumont	2016	403	19.99	1613	80.01	3.14
Beulah Park	1380	685	49.64	695	50.36	3.53
Burnside	3191	788	24.69	2403	75.31	3.48
Campbelltown	2464	1293	52.48	1171	47.52	3.34
Felixstow	746	408	54.69	338	45.31	10.96
Gilles Plains	399	192	48.12	207	51.88	1.03
Gilles Plains East	1369	813	59.39	556	40.61	5.08
Glen Osmond	751	186	24.77	565	75.23	2.28
Glenunga	886	245	27.65	641	72.35	3.2
Glenunga North	1536	481	31.32	1055	68.68	1.32
Glynde	1497	736	49.16	761	50.83	4.73
Greenacres	1334	758	56.82	576	43.18	4.35
Hampstead Gardens	863	443	51.33	420	48.67	5.05
Hectorville North	2052	1140	55.56	912	44.44	4.22
Hillcrest	1850	1041	56.27	809	43.73	2.07
Holden Hill (Sturt)	1407	866	61.55	541	38.45	3.63
Kensington Gardens	1462	433	29.62	1029	70.38	4.72
Kensington Park	1080	383	35.46	697	64.54	7.34
Kent Town	524	243	46.37	281	53.63	5.46
Klemzig	2280	1260	55.26	1020	44.74	3.46
Linden Park	1266	340	26.86	926	73.14	2.46
Magill (Sturt)	2202	866	39.33	1336	60.67	3.74
Magill North	1844	984	53.36	860	46.64	4.53
Marden	366	182	49.73	184	50.27	1.33
Marden West (Sturt)	1791	917	51.2	874	48.8	2.41
Marryatville	813	312	38.38	501	61.62	5.19
Maylands	1477	802	54.3	675	45.7	0.75
Northfield	802	537	66.96	265	33.04	8.6
Northfield South (Sturt)	419	239	57.04	180	42.96	3.37
Norwood	1848	897	48.54	951	51.46	0.36
Norwood West	1638	761	46.46	877	53.54	-4.03
Parkside East (Sturt)	165	70	42.42	95	57.58	-8.51
Rose Park	546	187	34.25	359	65.75	-1.44
Special Hospital Team 1	260	54	20.77	206	79.23	-5.36
Special Hospital Team 2	311	96	30.87	215	69.13	-16.82
St Morris	1204	595	49.42	609	50.58	3.86
Stonyfell	1723	394	22.87	1329	77.13	4.65
Toorak Gardens	1744	507	29.07	1237	70.93	0.96
Tranmere	1390	558	40.14	832	59.86	4.67
Trinity Gardens	1673	844	50.45	829	49.55	-1.78
Tusmore	1791	488	27.25	1303	72.75	1.83
Vale Park	1748	686	39.24	1062	60.76	2.73
Windsor Gardens East	696	412	59.2	284	40.8	3.85
Windsor Gardens West	1130	629	55.66	501	44.34	5.32
ABSENT	5252	2145	40.84	3107	59.16	-
POSTAL	4416	1658	37.55	2758	62.45	-
PRE POLL	4458	1759	39.46	2699	60.54	-
PROVISIONAL	487	251	51.54	236	48.46	-
Division Total	72646	31025	42.71	41621	57.29	2.7


Wakefield						

Polling Place	Formal	LEVERSEDGE		ANDREW		Swing
	Votes	(ALP)	%	(LP)	%	%
Alford	138	24	17.39	114	82.61	0.95
Angaston	1443	490	33.96	953	66.04	3.69
Ardrossan	1020	344	33.73	676	66.27	4.32
Arthurton	187	18	9.63	169	90.37	1.17
Auburn	336	115	34.23	221	65.77	10.71
Balaklava	1252	303	24.2	949	75.8	5.54
Barmera	1942	587	30.23	1355	69.77	2.1
Berri	2337	744	31.84	1593	68.16	0.55
Birdwood	689	244	35.41	445	64.59	6.34
Blanchetown	269	79	29.37	190	70.63	1.93
Bute	307	67	21.82	240	78.18	1.36
Cadell	239	69	28.87	170	71.13	5.08
Cobdogla	395	111	28.1	284	71.9	4.97
Coobowie	257	111	43.19	146	56.81	6.31
Corny Point	160	49	30.62	111	69.37	0.01
Curramulka	194	26	13.4	168	86.6	4.31
Dublin	432	174	40.28	258	59.72	9.09
Eden Valley	201	56	27.86	145	72.14	7.96
Edithburgh	444	175	39.41	269	60.59	2.04
Eudunda	692	188	27.17	504	72.83	6.57
Evanston	950	460	48.42	490	51.58	1.36
Evanston Gardens	1093	526	48.12	567	51.88	4.57
Forreston	149	57	38.26	92	61.74	14.82
Freeling	803	278	34.62	525	65.38	5.82
Gawler	1457	590	40.49	867	59.51	6.59
Gawler East	1573	577	36.68	996	63.32	1.32
Gawler River	253	82	32.41	171	67.59	-0.22
Gawler South	2037	802	39.37	1235	60.63	1.03
Gawler West	1557	742	47.66	815	52.34	2.9
Glossop	499	159	31.86	340	68.14	3.35
Greenock	748	228	30.48	520	69.52	5.52
Gumeracha	553	172	31.1	381	68.9	4.47
Hamley Bridge	457	152	33.26	305	66.74	5.71
Hardwicke Bay	117	33	28.21	84	71.79	6.47
Kadina	1888	591	31.3	1297	68.7	3.23
Kapunda	1611	588	36.5	1023	63.5	4.6
Kersbrook	580	194	33.45	386	66.55	4.49
Loxton	2639	681	25.81	1958	74.19	3.04
Loxton North	465	104	22.37	361	77.63	1.48
Lyndoch	1020	330	32.35	690	67.65	-1.01
Lyrup	217	67	30.88	150	69.12	5.39
Maitland	793	165	20.81	628	79.19	4.31
Mallala	669	236	35.28	433	64.72	6.09
Manoora	172	40	23.26	132	76.74	3.97
Marion Bay	144	50	34.72	94	65.28	1.39
Marrabel	126	22	17.46	104	82.54	7.04
Minlaton	716	146	20.39	570	79.61	1.87
Moculta	133	35	26.32	98	73.68	11.1
Monash	495	159	32.12	336	67.88	7.88
Moonta	1599	648	40.53	951	59.47	8.35
Moonta Mines	403	193	47.89	210	52.11	6.02
Moorook	359	99	27.58	260	72.42	9.8
Morgan	518	191	36.87	327	63.13	3.75
Mount Pleasant	636	225	35.38	411	64.62	5.47
Mount Torrens	316	90	28.48	226	71.52	3.56
Nuriootpa	2595	734	28.29	1861	71.71	1.45
One Tree Hill (Wakefield)	294	97	32.99	197	67.01	-0.65
Owen	341	103	30.21	238	69.79	10.78
Palmer	153	35	22.88	118	77.12	2.12
Paringa	647	162	25.04	485	74.96	1.93
Paskeville	183	42	22.95	141	77.05	6.03
Pine Point	183	45	24.59	138	75.41	4.46
Point Pass	113	30	26.55	83	73.45	5.89
Port Clinton	342	128	37.43	214	62.57	5.67
Port Victoria	305	101	33.11	204	66.89	12.01
Port Vincent	466	130	27.9	336	72.1	0.18
Port Wakefield	444	146	32.88	298	67.12	4.37
Prison Mobile Team 1	3	2	66.66	1	33.33	-
Ramco	455	135	29.67	320	70.33	8.79
Remote Mobile Team 1	34	30	88.24	4	11.76	-0.23
Remote Mobile Team 2	27	24	88.89	3	11.11	5.1
Renmark	2871	1070	37.27	1801	62.73	2.98
Renmark North	477	143	29.98	334	70.02	-2.88
Renmark West	514	146	28.4	368	71.6	3.22
Riverton	596	174	29.19	422	70.81	7.17
Robertstown	268	81	30.22	187	69.78	8.17
Roseworthy	414	144	34.78	270	65.22	2.55
Saddleworth	359	122	33.98	237	66.02	6.92
Sandy Creek	457	150	32.82	307	67.18	1.51
Special Hospital Team 1	159	48	30.19	111	69.81	0.74
Special Hospital Team 2	115	36	31.3	79	68.7	12.45
Special Hospital Team 3	17	2	11.76	15	88.23	-19.49
Special Hospital Team 4	266	64	24.06	202	75.94	-1.93
Special Hospital Team 5	194	85	43.81	109	56.19	8.18
Springton	301	96	31.89	205	68.11	3.52
Stansbury	488	144	29.51	344	70.49	3.46
Stockwell	263	47	17.87	216	82.13	1.61
Tanunda	2409	560	23.25	1849	76.75	3.15
Tarlee	213	71	33.33	142	66.67	12.45
Truro	333	101	30.33	232	69.67	6.2
Two Wells	1944	811	41.72	1133	58.28	1.41
Waikerie	1868	504	26.98	1364	73.02	4.56
Wallaroo	1689	861	50.98	828	49.02	5.9
Wallaroo Mines	567	303	53.44	264	46.56	3.7
Warooka	470	119	25.32	351	74.68	8.26
Wasleys	253	105	41.5	148	58.5	7.79
Watervale	193	53	27.46	140	72.54	0.11
Willaston - Hewett	1590	634	39.87	956	60.13	3
Williamstown	1008	414	41.07	594	58.93	4.39
Winkie	180	49	27.22	131	72.78	9.48
Yorketown	677	188	27.77	489	72.23	3.52
ABSENT	5177	1979	38.23	3198	61.77	-
POSTAL	4276	1247	29.16	3029	70.84	-
PRE POLL	2776	987	35.55	1789	64.45	-
PROVISIONAL	165	70	42.42	95	57.58	-
Division Total	80811	27238	33.71	53573	66.29	3.67



Tasmania						

Bass						

Polling Place	Formal	O'BYRNE		SMITH		Swing
	Votes	(ALP)	%	(LP)	%	%
Alanvale	2825	1642	58.12	1183	41.88	1.76
Blessington Upper	79	42	53.16	37	46.84	17.53
Branxholm	241	120	49.79	121	50.21	6.62
Bridport	1135	499	43.96	636	56.04	10.28
Cape Barren Island	28	18	64.29	10	35.71	-5.71
Cosgrove Park	293	161	54.95	132	45.05	15.21
Derby	159	90	56.6	69	43.4	5.96
Dilston	665	293	44.06	372	55.94	7.9
Elphin	595	286	48.07	309	51.93	-1.66
Emita	73	20	27.4	53	72.6	-2.76
Franklin Village	233	95	40.77	138	59.23	0.59
General Hospital	437	249	56.98	188	43.02	8.91
George Town	2200	1454	66.09	746	33.91	4.22
George Town South	843	531	62.99	312	37.01	1.96
Gladstone	123	74	60.16	49	39.84	6.06
Hillwood	371	186	50.13	185	49.87	0.94
Inveresk	1068	688	64.42	380	35.58	1.56
Invermay	1319	774	58.68	545	41.32	3.3
Karoola	279	134	48.03	145	51.97	12.36
Kings Meadows	1683	881	52.35	802	47.65	7.83
Lady Barron	147	63	42.86	84	57.14	12.45
Launceston	761	412	54.14	349	45.86	3.31
Launceston Central	1026	520	50.68	506	49.32	6.77
Launceston East	1407	586	41.65	821	58.35	2.13
Launceston South	1832	917	50.05	915	49.95	5.8
Launceston West	1832	904	49.34	928	50.66	4.7
Lebrina	254	126	49.61	128	50.39	11.71
Legana (Bass)	1228	449	36.56	779	63.44	1.86
Lilydale	659	371	56.3	288	43.7	4.92
Mowbray	1525	933	61.18	592	38.82	6.02
Myrtle Park	69	45	65.22	24	34.78	12.65
Nabowla	98	33	33.67	65	66.33	-5.27
Newstead	1670	633	37.9	1037	62.1	4.19
Norwood	2365	803	33.95	1562	66.05	5.71
Nunamara	218	140	64.22	78	35.78	20.01
Ockerby Gardens	1004	545	54.28	459	45.72	5.6
Pioneer	69	40	57.97	29	42.03	11.06
Pipers River	261	123	47.13	138	52.87	6.37
Prospect	4455	2184	49.02	2271	50.98	5.52
Prospect Vale	1260	481	38.17	779	61.83	5.37
Ravenswood	2370	1687	71.18	683	28.82	4.37
Ringarooma	383	173	45.17	210	54.83	4.21
Riverside	2604	969	37.21	1635	62.79	5.36
Riverside West	1048	482	45.99	566	54.01	8.19
Rocherlea	1339	924	69.01	415	30.99	6.56
Scottsdale	1850	745	40.27	1105	59.73	-0.09
Special Hospital Team 1	226	99	43.81	127	56.19	8.77
Special Hospital Team 2	94	23	24.47	71	75.53	-11.49
Special Hospital Team 3	73	30	41.1	43	58.9	-6.07
Special Hospital Team 4	306	83	27.12	223	72.88	3.75
St Leonards	1138	580	50.97	558	49.03	7.08
Trevallyn	1928	815	42.27	1113	57.73	3.49
Waverley	902	609	67.52	293	32.48	0.59
Weymouth	142	58	40.85	84	59.15	-5.27
Whitemark	294	115	39.12	179	60.88	6.1
Windmill Hill	491	170	34.62	321	65.38	-0.35
Winnaleah	234	87	37.18	147	62.82	9.35
Young Town	1446	787	54.43	659	45.57	10.08
ABSENT	2312	1158	50.09	1154	49.91	-
POSTAL	2525	1263	50.02	1262	49.98	-
PRE POLL	2535	1132	44.65	1403	55.35	-
PROVISIONAL	117	78	66.67	39	33.33	-
Division Total	61146	30612	50.06	30534	49.94	4.63


Braddon						

Polling Place	Formal	SIDEBOTTOM		MILES		Swing
	Votes	(ALP)	%	(LP)	%	%
Abbotsham	160	56	35	104	65	4.78
Acton	1827	1386	75.86	441	24.14	12.39
Addison Street	848	487	57.43	361	42.57	8.85
Ambleside	569	292	51.32	277	48.68	9.62
Blythe Heads	199	132	66.33	67	33.67	13.52
Boat Harbour	271	124	45.76	147	54.24	13.09
Brooklyn	587	364	62.01	223	37.99	3.41
Burnie	1212	664	54.79	548	45.21	9.6
Burnie South	391	225	57.54	166	42.46	10.61
Calder	81	39	48.15	42	51.85	24.05
Cooee	784	436	55.61	348	44.39	10.31
Cuprona	129	58	44.96	71	55.04	6.44
Currie	808	317	39.23	491	60.77	5.38
Devonport Central	1744	864	49.54	880	50.46	8.27
Devonport East	2270	1500	66.08	770	33.92	11.99
Devonport North	768	378	49.22	390	50.78	7.07
Devonport South	1775	1061	59.77	714	40.23	12.49
Don	587	262	44.63	325	55.37	2.84
Edith Creek	169	78	46.15	91	53.85	16.49
Elliott	209	101	48.33	108	51.67	16.37
Forest	392	156	39.8	236	60.2	9.17
Forth	740	304	41.08	436	58.92	5.28
Gawler	376	153	40.69	223	59.31	10.55
Grassy	123	49	39.84	74	60.16	9.76
Gunns Plains	105	52	49.52	53	50.48	19.79
Havenview	516	349	67.64	167	32.36	10.9
Highclere	140	79	56.43	61	43.57	20.32
Irishtown	275	117	42.55	158	57.45	14.59
Lileah	67	29	43.28	38	56.72	22.32
Malonga Park	1025	508	49.56	517	50.44	10.36
Marrawah	225	90	40	135	60	9.72
Mawbanna	57	14	24.56	43	75.44	5.44
Melrose	153	72	47.06	81	52.94	12.58
Montagu	129	37	28.68	92	71.32	7.74
Montello	1364	941	68.99	423	31.01	11.27
Moorleah	184	106	57.61	78	42.39	8.54
Natone	175	83	47.43	92	52.57	4.48
Nietta	71	48	67.61	23	32.39	31.13
Nixon Street	2518	1283	50.95	1235	49.05	4.81
North Motton	252	116	46.03	136	53.97	13.84
Penguin	2017	1141	56.57	876	43.43	8.98
Preston	96	40	41.67	56	58.33	13.67
Redpa	64	18	28.12	46	71.87	-5.21
Reekara	103	24	23.3	79	76.7	3.97
Riana	185	79	42.7	106	57.3	16.74
Ridgley	610	319	52.3	291	47.7	12.33
Rocky Cape	454	231	50.88	223	49.12	14.81
Savage River	46	35	76.09	11	23.91	11.13
Sisters Beach	218	113	51.83	105	48.17	11.16
Sisters Creek	173	75	43.35	98	56.65	12.69
Smithton	2283	1153	50.5	1130	49.5	11.86
Somerset	2210	1313	59.41	897	40.59	11.66
South Riana	177	71	40.11	106	59.89	15.9
Special Hospital Team 1	50	25	50	25	50	16.67
Special Hospital Team 2	199	96	48.24	103	51.76	4.74
Special Hospital Team 3	127	60	47.24	67	52.76	20.83
Special Hospital Team 4	131	48	36.64	83	63.36	3.82
Sprent	208	98	47.12	110	52.88	8.14
Spreyton	1107	578	52.21	529	47.79	7.84
Stanley	414	251	60.63	163	39.37	12.21
Stowport	227	120	52.86	107	47.14	12.27
Sulphur Creek	472	228	48.31	244	51.69	11
Togari	79	30	37.97	49	62.03	13.73
Trowutta	59	25	42.37	34	57.63	10.63
Turners Beach	735	369	50.2	366	49.8	13.05
Ulverstone	1118	523	46.78	595	53.22	7.28
Ulverstone East	991	458	46.22	533	53.78	9.66
Ulverstone South	2175	1218	56	957	44	11.55
Ulverstone West	1936	1080	55.79	856	44.21	11.05
Upper Burnie	1479	896	60.58	583	39.42	10.55
Valley Road	1584	846	53.41	738	46.59	6.81
Waratah	155	118	76.13	37	23.87	13.92
West Wynyard	1029	628	61.03	401	38.97	12.84
Wivenhoe	518	281	54.25	237	45.75	9.78
Wynyard	2015	1071	53.15	944	46.85	9.16
Wynyard East	529	358	67.67	171	32.33	19.43
Yolla	427	217	50.82	210	49.18	9.39
ABSENT	2270	1212	53.39	1058	46.61	-
POSTAL	2240	1135	50.67	1105	49.33	-
PRE POLL	2797	1491	53.31	1306	46.69	-
PROVISIONAL	125	85	68	40	32	-
Division Total	58107	31567	54.33	26540	45.67	10.02


Denison						

Polling Place	Formal	KERR		GREGSON		Swing
	Votes	(ALP)	%	(LP)	%	%
Abbotsfield	1694	1316	77.69	378	22.31	5.61
Albuera	477	256	53.67	221	46.33	-8.15
Austins Ferry	1574	1088	69.12	486	30.88	4.39
Battery Point	1135	614	54.1	521	45.9	-0.64
Bowen Road	1864	1344	72.1	520	27.9	1.98
Brent Street	863	630	73	233	27	6.92
Cascades	772	547	70.85	225	29.15	0.55
Chigwell	1631	1281	78.54	350	21.46	6.23
Claremont	1603	1159	72.3	444	27.7	5.44
Collinsvale	359	269	74.93	90	25.07	-3.17
Cornelian Bay	635	406	63.94	229	36.06	9.45
Cosgrove	805	589	73.17	216	26.83	8.09
Creek Road	1308	786	60.09	522	39.91	9.28
Cross Street	1706	1121	65.71	585	34.29	3.88
Dynnyrne	1051	610	58.04	441	41.96	2.25
Elizabeth Street	760	548	72.11	212	27.89	-1.82
Elwick	457	369	80.74	88	19.26	7.31
Fern Tree	410	290	70.73	120	29.27	2.11
Glenorchy	2782	1965	70.63	817	29.37	5.77
Glenorchy East	2353	1734	73.69	619	26.31	3.2
Goodwood	978	766	78.32	212	21.68	0.58
Hill Street	382	248	64.92	134	35.08	6.53
Hobart	695	485	69.78	210	30.22	5.95
Hobart Central	221	153	69.23	68	30.77	5.3
Hobart North	658	456	69.3	202	30.7	2.06
Hobart South	1567	1002	63.94	565	36.06	1.94
Hobart West	970	697	71.86	273	28.14	3.06
Lansdowne Crescent	1011	696	68.84	315	31.16	2.36
Lenah Valley	1569	992	63.22	577	36.78	4.98
Lower Sandy Bay	1963	684	34.84	1279	65.16	-1.08
Lutana	785	599	76.31	186	23.69	5.23
Montrose	524	339	64.69	185	35.31	5.25
Moonah	2277	1526	67.02	751	32.98	4.42
Moonah North	822	548	66.67	274	33.33	0.53
Mount Nelson	1161	618	53.23	543	46.77	-0.23
Mount Stuart	756	442	58.47	314	41.53	8.72
New Town	1035	599	57.87	436	42.13	0.07
Newdegate	1029	685	66.57	344	33.43	4.43
Queenborough	573	340	59.34	233	40.66	1.56
Roseneath	292	248	84.93	44	15.07	7.38
Rosetta	922	513	55.64	409	44.36	5.46
Sandy Bay	1688	733	43.42	955	56.58	-0.19
Sandy Bay Beach	997	355	35.61	642	64.39	1.61
Special Hospital Team 1	100	54	54	46	46	-29.08
Special Hospital Team 2	98	57	58.16	41	41.84	-8.5
Special Hospital Team 3	120	73	60.83	47	39.17	8.24
Special Hospital Team 4	115	51	44.35	64	55.65	-12.96
Special Hospital Team 5	24	13	54.17	11	45.83	14.83
St Johns Park	308	191	62.01	117	37.99	-6.01
St Peters	445	313	70.34	132	29.66	2.68
Swan	601	404	67.22	197	32.78	-4.31
Taroona	1380	757	54.86	623	45.14	5.74
Tolosa	1567	1177	75.11	390	24.89	5.39
Waimea Heights	694	241	34.73	453	65.27	-1.64
Windermere	1044	772	73.95	272	26.05	1.57
ABSENT	2767	1741	62.92	1026	37.08	-
POSTAL	3105	1989	64.06	1116	35.94	-
PRE POLL	3008	1816	60.37	1192	39.63	-
PROVISIONAL	133	104	78.2	29	21.8	-
Division Total	62623	40399	64.51	22224	35.49	2.72


Franklin						

Polling Place	Formal	QUICK		GOODLUCK		Swing
	Votes	(ALP)	%	(LP)	%	%
Adventure Bay	134	89	66.42	45	33.58	12.83
Alonnah	193	123	63.73	70	36.27	12.81
Barnes Bay	103	64	62.14	39	37.86	14.17
Bellerive	2780	1433	51.55	1347	48.45	0.66
Blackmans Bay	2680	1320	49.25	1360	50.75	0.18
Bligh	838	660	78.76	178	21.24	5.79
Bridgewater	2319	1858	80.12	461	19.88	0.89
Cambridge	833	362	43.46	471	56.54	-0.89
Clarendon Vale	717	603	84.1	114	15.9	5.74
Cradoc	224	116	51.79	108	48.21	14.09
Cygnet	1518	966	63.64	552	36.36	5.63
Dover	495	327	66.06	168	33.94	14.2
East Risdon	258	132	51.16	126	48.84	1.16
Franklin	507	302	59.57	205	40.43	10.51
Gagebrook	1695	1285	75.81	410	24.19	-1.46
Geeveston	753	455	60.42	298	39.58	12.08
Geilston Bay	1488	814	54.7	674	45.3	-1.69
Glen Huon	242	109	45.04	133	54.96	7.02
Grove	567	300	52.91	267	47.09	9.52
Howden	234	129	55.13	105	44.87	6.66
Howrah	2757	1296	47.01	1461	52.99	2.28
Huonville	1479	801	54.16	678	45.84	4.97
Judbury	218	124	56.88	94	43.12	15.59
Kettering	456	234	51.32	222	48.68	4.6
Kingston	3939	1947	49.43	1992	50.57	-1.11
Kingston Beach	2559	1221	47.71	1338	52.29	1.42
Lauderdale	2288	1128	49.3	1160	50.7	-1.15
Lindisfarne	2498	1201	48.08	1297	51.92	3.57
Loatta Road	1524	732	48.03	792	51.97	2.77
Margate	1524	838	54.99	686	45.01	1.33
Middleton	259	185	71.43	74	28.57	11.26
Montagu Bay	1240	587	47.34	653	52.66	-2.21
Mornington	425	321	75.53	104	24.47	9.34
Opossum Bay	180	86	47.78	94	52.22	8.01
Port Huon	238	127	53.36	111	46.64	9.38
Ranelagh	624	337	54.01	287	45.99	6
Risdon Vale	1498	1225	81.78	273	18.22	4.79
Rokeby	1699	1266	74.51	433	25.49	4.21
Sandfly	728	367	50.41	361	49.59	-2.35
Sandford	949	475	50.05	474	49.95	-0.41
Seven Mile Beach	742	378	50.94	364	49.06	-2.23
Snug	863	544	63.04	319	36.96	7.95
South Arm	460	244	53.04	216	46.96	-1.8
Southport	124	90	72.58	34	27.42	23.09
Special Hospital Team 1	177	85	48.02	92	51.98	0.65
Special Hospital Team 2	180	57	31.67	123	68.33	7.98
Strathblane	131	76	58.02	55	41.98	-5.1
Surges Bay	141	61	43.26	80	56.74	5
Tranmere	1780	843	47.36	937	52.64	3.63
Warrane	1529	1085	70.96	444	29.04	0.55
Wentworth Street	1336	707	52.92	629	47.08	6.38
Woodbridge	364	218	59.89	146	40.11	9.72
ABSENT	3347	1913	57.16	1434	42.84	-
POSTAL	2267	1292	56.99	975	43.01	-
PRE POLL	2195	1145	52.16	1050	47.84	-
PROVISIONAL	115	76	66.09	39	33.91	-
Division Total	61411	34759	56.6	26652	43.4	1.92


Lyons						

Polling Place	Formal	ADAMS		COLBECK		Swing
	Votes	(ALP)	%	(LP)	%	%
Avoca	197	140	71.07	57	28.93	6.23
Bagdad	661	462	69.89	199	30.11	10.1
Beaconsfield	1010	713	70.59	297	29.41	10.76
Beauty Point	705	458	64.96	247	35.04	7.38
Bicheno	592	327	55.24	265	44.76	8.07
Bishopsbourne	106	35	33.02	71	66.98	17.98
Bothwell	400	238	59.5	162	40.5	10.91
Bracknell	392	206	52.55	186	47.45	17.3
Brighton	1401	915	65.31	486	34.69	7.01
Broadmarsh	186	93	50	93	50	14.33
Bronte	125	73	58.4	52	41.6	12.75
Buckland	123	68	55.28	55	44.72	9.38
Campania	447	223	49.89	224	50.11	6.42
Campbell Town	628	458	72.93	170	27.07	12.34
Carrick	438	213	48.63	225	51.37	11.28
Chudleigh	236	105	44.49	131	55.51	10.4
Claude Road	146	82	56.16	64	43.84	9.31
Colebrook	217	142	65.44	75	34.56	11.33
Coles Bay	139	70	50.36	69	49.64	12.37
Copping	189	129	68.25	60	31.75	9.28
