House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
	FIRST			0	0.00		1	1.41		1	1.41		1	1.41		0	0.00		1	1.41		48	67.61		14	19.72		0	0.00		5	7.04		71	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	1.41		1	1.41		1	1.41		0	0.00		1	1.41		48	67.61		14	19.72					5	7.04		71	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		1	
		TOTAL		0	0.00		1	1.41		1	1.41		1	1.41		0	0.00					48	67.61		14	19.72					6	8.45		71	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	1.41		1	1.41		1	1.41		0	0.00					48	67.61		14	19.72					6	8.45		71	
	FIFTH						0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					1	1.41					2	2.82		0	0.00					48	67.61		14	19.72					6	8.45		71	
	SIXTH						3	50.00					1	16.67		0	0.00					2	33.33		0	0.00						Excluded		6	
		TOTAL					4	5.63					3	4.23		0	0.00					50	70.42		14	19.72								71	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					4	5.63					3	4.23								50	70.42		14	19.72								71	
	EIGHTH							Excluded					1	25.00								3	75.00		0	0.00								4	
		TOTAL											4	5.63								53	74.65		14	19.72								71	
	NINTH													Excluded								3	75.00		1	25.00								4	
		TOTAL																				56	78.87		15	21.13								71	
																						Elected													
																																			
Special Hospital Team 6                                        																																			
	FIRST			0	0.00		4	4.71		0	0.00		2	2.35		0	0.00		1	1.18		51	60.00		25	29.41		0	0.00		2	2.35		85	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		4	4.71		0	0.00		2	2.35		0	0.00		1	1.18		51	60.00		25	29.41					2	2.35		85	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		4	4.71		0	0.00		2	2.35		1	1.18					51	60.00		25	29.41					2	2.35		85	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					4	4.71		0	0.00		2	2.35		1	1.18					51	60.00		25	29.41					2	2.35		85	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					4	4.71					2	2.35		1	1.18					51	60.00		25	29.41					2	2.35		85	
	SIXTH						0	0.00					0	0.00		0	0.00					1	50.00		1	50.00						Excluded		2	
		TOTAL					4	4.71					2	2.35		1	1.18					52	61.18		26	30.59								85	
	SEVENTH						0	0.00					1	100.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					4	4.71					3	3.53								52	61.18		26	30.59								85	
	EIGHTH							Excluded					1	25.00								1	25.00		2	50.00								4	
		TOTAL											4	4.71								53	62.35		28	32.94								85	
	NINTH													Excluded								4	100.00		0	0.00								4	
		TOTAL																				57	67.06		28	32.94								85	
																						Elected													
																																			
Special Hospital Team 7                                        																																			
	FIRST			0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		0	0.00		2	33.33		2	33.33		0	0.00		0	0.00		6	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		0	0.00		2	33.33		2	33.33					0	0.00		6	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		1	16.67		0	0.00		0	0.00		1	16.67					2	33.33		2	33.33					0	0.00		6	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	16.67		0	0.00		0	0.00		1	16.67					2	33.33		2	33.33					0	0.00		6	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	16.67					0	0.00		1	16.67					2	33.33		2	33.33					0	0.00		6	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					1	16.67					0	0.00		1	16.67					2	33.33		2	33.33								6	
	SEVENTH						1	100.00					0	0.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					2	33.33					0	0.00								2	33.33		2	33.33								6	
	EIGHTH							Excluded					0	0.00								2	100.00		0	0.00								2	
		TOTAL											0	0.00								4	66.67		2	33.33								6	
	NINTH													Excluded								0	0.00		0	0.00								0	
		TOTAL																				4	66.67		2	33.33								6	
																						Elected													
																																			
Special Hospital Team 8                                        																																			
	FIRST			2	4.44		0	0.00		0	0.00		0	0.00		1	2.22		0	0.00		32	71.11		10	22.22		0	0.00		0	0.00		45	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	4.44		0	0.00		0	0.00		0	0.00		1	2.22		0	0.00		32	71.11		10	22.22					0	0.00		45	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	4.44		0	0.00		0	0.00		0	0.00		1	2.22					32	71.11		10	22.22					0	0.00		45	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	50.00		2	
		TOTAL					1	2.22		0	0.00		0	0.00		1	2.22					32	71.11		10	22.22					1	2.22		45	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	2.22					0	0.00		1	2.22					32	71.11		10	22.22					1	2.22		45	
	SIXTH						1	100.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		1	
		TOTAL					2	4.44					0	0.00		1	2.22					32	71.11		10	22.22								45	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		1	100.00								1	
		TOTAL					2	4.44					0	0.00								32	71.11		11	24.44								45	
	EIGHTH							Excluded					0	0.00								1	50.00		1	50.00								2	
		TOTAL											0	0.00								33	73.33		12	26.67								45	
	NINTH													Excluded								0	0.00		0	0.00								0	
		TOTAL																				33	73.33		12	26.67								45	
																						Elected													
																																			
Special Hospital Team 9                                        																																			
	FIRST			1	4.17		2	8.33		1	4.17		1	4.17		0	0.00		0	0.00		13	54.17		5	20.83		1	4.17		0	0.00		24	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	8.33		2	8.33		1	4.17		1	4.17		0	0.00		0	0.00		13	54.17		5	20.83					0	0.00		24	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	8.33		2	8.33		1	4.17		1	4.17		0	0.00					13	54.17		5	20.83					0	0.00		24	
	FOURTH				Excluded		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					4	16.67		1	4.17		1	4.17		0	0.00					13	54.17		5	20.83					0	0.00		24	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00		1	
		TOTAL					4	16.67					1	4.17		0	0.00					13	54.17		6	25.00					0	0.00		24	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					4	16.67					1	4.17		0	0.00					13	54.17		6	25.00								24	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					4	16.67					1	4.17								13	54.17		6	25.00								24	
	EIGHTH							Excluded					2	50.00								2	50.00		0	0.00								4	
		TOTAL											3	12.50								15	62.50		6	25.00								24	
	NINTH													Excluded								2	66.67		1	33.33								3	
		TOTAL																				17	70.83		7	29.17								24	
																						Elected													
																																			
ABSENT																																			
	FIRST			105	1.70		285	4.61		185	2.99		555	8.98		206	3.33		162	2.62		3336	53.99		1181	19.11		58	0.94		106	1.72		6179	
	SECOND			1	1.72		1	1.72		3	5.17		2	3.45		1	1.72		0	0.00		5	8.62		6	10.34			Excluded		39	67.24		58	
		TOTAL		106	1.72		286	4.63		188	3.04		557	9.01		207	3.35		162	2.62		3341	54.07		1187	19.21					145	2.35		6179	
	THIRD			14	8.64		16	9.88		12	7.41		22	13.58		20	12.35			Excluded		31	19.14		40	24.69					7	4.32		162	
		TOTAL		120	1.94		302	4.89		200	3.24		579	9.37		227	3.67					3372	54.57		1227	19.86					152	2.46		6179	
	FOURTH				Excluded		79	65.83		23	19.17		6	5.00		1	0.83					7	5.83		2	1.67					2	1.67		120	
		TOTAL					381	6.17		223	3.61		585	9.47		228	3.69					3379	54.69		1229	19.89					154	2.49		6179	
	FIFTH						51	22.87			Excluded		14	6.28		62	27.80					37	16.59		50	22.42					9	4.04		223	
		TOTAL					432	6.99					599	9.69		290	4.69					3416	55.28		1279	20.70					163	2.64		6179	
	SIXTH						57	34.97					13	7.98		16	9.82					41	25.15		36	22.09						Excluded		163	
		TOTAL					489	7.91					612	9.90		306	4.95					3457	55.95		1315	21.28								6179	
	SEVENTH						92	30.07					29	9.48			Excluded					70	22.88		115	37.58								306	
		TOTAL					581	9.40					641	10.37								3527	57.08		1430	23.14								6179	
	EIGHTH							Excluded					181	31.15								210	36.14		190	32.70								581	
		TOTAL											822	13.30								3737	60.48		1620	26.22								6179	
	NINTH													Excluded								515	62.65		307	37.35								822	
		TOTAL																				4252	68.81		1927	31.19								6179	
																						Elected													
																																			
POSTAL																																			
	FIRST			24	0.71		178	5.30		54	1.61		350	10.41		44	1.31		48	1.43		2045	60.84		549	16.33		7	0.21		62	1.84		3361	
	SECOND			0	0.00		1	14.29		0	0.00		0	0.00		1	14.29		0	0.00		4	57.14		0	0.00			Excluded		1	14.29		7	
		TOTAL		24	0.71		179	5.33		54	1.61		350	10.41		45	1.34		48	1.43		2049	60.96		549	16.33					63	1.87		3361	
	THIRD			2	4.17		4	8.33		3	6.25		12	25.00		5	10.42			Excluded		13	27.08		6	12.50					3	6.25		48	
		TOTAL		26	0.77		183	5.44		57	1.70		362	10.77		50	1.49					2062	61.35		555	16.51					66	1.96		3361	
	FOURTH				Excluded		9	34.62		1	3.85		6	23.08		3	11.54					1	3.85		0	0.00					6	23.08		26	
		TOTAL					192	5.71		58	1.73		368	10.95		53	1.58					2063	61.38		555	16.51					72	2.14		3361	
	FIFTH						7	12.07			Excluded		3	5.17		13	22.41					17	29.31		14	24.14					4	6.90		58	
		TOTAL					199	5.92					371	11.04		66	1.96					2080	61.89		569	16.93					76	2.26		3361	
	SIXTH						25	32.89					19	25.00		6	7.89					18	23.68		8	10.53						Excluded		76	
		TOTAL					224	6.66					390	11.60		72	2.14					2098	62.42		577	17.17								3361	
	SEVENTH						19	26.39					8	11.11			Excluded					17	23.61		28	38.89								72	
		TOTAL					243	7.23					398	11.84								2115	62.93		605	18.00								3361	
	EIGHTH							Excluded					112	46.09								85	34.98		46	18.93								243	
		TOTAL											510	15.17								2200	65.46		651	19.37								3361	
	NINTH													Excluded								279	54.71		231	45.29								510	
		TOTAL																				2479	73.76		882	26.24								3361	
																						Elected													
																																			
PRE POLL																																			
	FIRST			40	1.17		199	5.80		82	2.39		291	8.49		70	2.04		54	1.57		1990	58.03		604	17.61		22	0.64		77	2.25		3429	
	SECOND			0	0.00		1	4.55		2	9.09		0	0.00		1	4.55		1	4.55		3	13.64		5	22.73			Excluded		9	40.91		22	
		TOTAL		40	1.17		200	5.83		84	2.45		291	8.49		71	2.07		55	1.60		1993	58.12		609	17.76					86	2.51		3429	
	THIRD			2	3.64		4	7.27		2	3.64		7	12.73		6	10.91			Excluded		11	20.00		12	21.82					11	20.00		55	
		TOTAL		42	1.22		204	5.95		86	2.51		298	8.69		77	2.25					2004	58.44		621	18.11					97	2.83		3429	
	FOURTH				Excluded		23	54.76		1	2.38		8	19.05		0	0.00					3	7.14		2	4.76					5	11.90		42	
		TOTAL					227	6.62		87	2.54		306	8.92		77	2.25					2007	58.53		623	18.17					102	2.97		3429	
	FIFTH						21	24.14			Excluded		8	9.20		19	21.84					17	19.54		18	20.69					4	4.60		87	
		TOTAL					248	7.23					314	9.16		96	2.80					2024	59.03		641	18.69					106	3.09		3429	
	SIXTH						43	40.57					13	12.26		8	7.55					22	20.75		20	18.87						Excluded		106	
		TOTAL					291	8.49					327	9.54		104	3.03					2046	59.67		661	19.28								3429	
	SEVENTH						35	33.65					7	6.73			Excluded					29	27.88		33	31.73								104	
		TOTAL					326	9.51					334	9.74								2075	60.51		694	20.24								3429	
	EIGHTH							Excluded					133	40.80								93	28.53		100	30.67								326	
		TOTAL											467	13.62								2168	63.23		794	23.16								3429	
	NINTH													Excluded								248	53.10		219	46.90								467	
		TOTAL																				2416	70.46		1013	29.54								3429	
																						Elected													
																																			
PROVISIONAL																																			
	FIRST			21	4.52		20	4.30		7	1.51		57	12.26		12	2.58		11	2.37		172	36.99		148	31.83		4	0.86		13	2.80		465	
	SECOND			0	0.00		0	0.00		0	0.00		1	25.00		0	0.00		1	25.00		1	25.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		21	4.52		20	4.30		7	1.51		58	12.47		12	2.58		12	2.58		173	37.20		148	31.83					14	3.01		465	
	THIRD			1	8.33		1	8.33		1	8.33		0	0.00		1	8.33			Excluded		4	33.33		3	25.00					1	8.33		12	
		TOTAL		22	4.73		21	4.52		8	1.72		58	12.47		13	2.80					177	38.06		151	32.47					15	3.23		465	
	FOURTH				Excluded		10	45.45		5	22.73		4	18.18		0	0.00					2	9.09		0	0.00					1	4.55		22	
		TOTAL					31	6.67		13	2.80		62	13.33		13	2.80					179	38.49		151	32.47					16	3.44		465	
	FIFTH						6	46.15			Excluded		0	0.00		4	30.77					0	0.00		1	7.69					2	15.38		13	
		TOTAL					37	7.96					62	13.33		17	3.66					179	38.49		152	32.69					18	3.87		465	
	SIXTH						5	27.78					4	22.22		3	16.67					2	11.11		4	22.22						Excluded		18	
		TOTAL					42	9.03					66	14.19		20	4.30					181	38.92		156	33.55								465	
	SEVENTH						2	10.00					4	20.00			Excluded					6	30.00		8	40.00								20	
		TOTAL					44	9.46					70	15.05								187	40.22		164	35.27								465	
	EIGHTH							Excluded					21	47.73								13	29.55		10	22.73								44	
		TOTAL											91	19.57								200	43.01		174	37.42								465	
	NINTH													Excluded								55	60.44		36	39.56								91	
		TOTAL																				255	54.84		210	45.16								465	
																						Elected													
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
