House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
		TOTAL					7	6.86																	32	31.37		1	0.98		59	57.84					3	2.94		102	
	NINTH						1	33.33																	2	66.67		0	0.00		0	0.00						Excluded		3	
		TOTAL					8	7.84																	34	33.33		1	0.98		59	57.84								102	
	TENTH						0	0.00																	1	100.00			Excluded		0	0.00								1	
		TOTAL					8	7.84																	35	34.31					59	57.84								102	
	ELEVENTH							Excluded																	6	75.00					2	25.00								8	
		TOTAL																							41	40.20					61	59.80								102	
																															Elected										
																																									
ABSENT																																									
	FIRST			89	2.55		167	4.78		17	0.49		52	1.49		184	5.26		104	2.98		82	2.35		851	24.35		401	11.47		1340	38.34		8	0.23		200	5.72		3495	
	SECOND			0	0.00		1	12.50		0	0.00		0	0.00		0	0.00		1	12.50		0	0.00		1	12.50		2	25.00		1	12.50			Excluded		2	25.00		8	
		TOTAL		89	2.55		168	4.81		17	0.49		52	1.49		184	5.26		105	3.00		82	2.35		852	24.38		403	11.53		1341	38.37					202	5.78		3495	
	THIRD			0	0.00		6	35.29			Excluded		1	5.88		2	11.76		2	11.76		0	0.00		1	5.88		5	29.41		0	0.00					0	0.00		17	
		TOTAL		89	2.55		174	4.98					53	1.52		186	5.32		107	3.06		82	2.35		853	24.41		408	11.67		1341	38.37					202	5.78		3495	
	FOURTH			8	15.09		16	30.19						Excluded		2	3.77		6	11.32		3	5.66		5	9.43		2	3.77		7	13.21					4	7.55		53	
		TOTAL		97	2.78		190	5.44								188	5.38		113	3.23		85	2.43		858	24.55		410	11.73		1348	38.57					206	5.89		3495	
	FIFTH				Excluded		69	71.13								7	7.22		2	2.06		3	3.09		6	6.19		4	4.12		3	3.09					3	3.09		97	
		TOTAL					259	7.41								195	5.58		115	3.29		88	2.52		864	24.72		414	11.85		1351	38.66					209	5.98		3495	
	SIXTH						16	13.91								9	7.83			Excluded		6	5.22		14	12.17		54	46.96		9	7.83					7	6.09		115	
		TOTAL					275	7.87								204	5.84					94	2.69		878	25.12		468	13.39		1360	38.91					216	6.18		3495	
	SEVENTH						10	10.64								7	7.45						Excluded		17	18.09		6	6.38		41	43.62					13	13.83		94	
		TOTAL					285	8.15								211	6.04								895	25.61		474	13.56		1401	40.09					229	6.55		3495	
	EIGHTH						42	19.91									Excluded								58	27.49		80	37.91		31	14.69					0	0.00		211	
		TOTAL					327	9.36																	953	27.27		554	15.85		1432	40.97					229	6.55		3495	
	NINTH						65	28.38																	54	23.58		24	10.48		86	37.55						Excluded		229	
		TOTAL					392	11.22																	1007	28.81		578	16.54		1518	43.43								3495	
	TENTH						194	33.56																	307	53.11			Excluded		77	13.32								578	
		TOTAL					586	16.77																	1314	37.60					1595	45.64								3495	
	ELEVENTH							Excluded																	374	63.82					212	36.18								586	
		TOTAL																							1688	48.30					1807	51.70								3495	
																															Elected										
																																									
POSTAL																																									
	FIRST			40	1.28		112	3.59		4	0.13		19	0.61		80	2.56		30	0.96		57	1.83		962	30.81		145	4.64		1439	46.09		5	0.16		229	7.34		3122	
	SECOND			0	0.00		0	0.00		0	0.00		3	60.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		40	1.28		112	3.59		4	0.13		22	0.70		80	2.56		30	0.96		57	1.83		962	30.81		146	4.68		1439	46.09					230	7.37		3122	
	THIRD			0	0.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL		40	1.28		114	3.65					22	0.70		80	2.56		30	0.96		57	1.83		963	30.85		147	4.71		1439	46.09					230	7.37		3122	
	FOURTH			0	0.00		12	54.55						Excluded		2	9.09		0	0.00		1	4.55		3	13.64		1	4.55		2	9.09					1	4.55		22	
		TOTAL		40	1.28		126	4.04								82	2.63		30	0.96		58	1.86		966	30.94		148	4.74		1441	46.16					231	7.40		3122	
	FIFTH				Excluded		29	72.50								1	2.50		2	5.00		0	0.00		4	10.00		2	5.00		0	0.00					2	5.00		40	
		TOTAL					155	4.96								83	2.66		32	1.02		58	1.86		970	31.07		150	4.80		1441	46.16					233	7.46		3122	
	SIXTH						4	12.50								1	3.13			Excluded		2	6.25		6	18.75		10	31.25		4	12.50					5	15.63		32	
		TOTAL					159	5.09								84	2.69					60	1.92		976	31.26		160	5.12		1445	46.28					238	7.62		3122	
	SEVENTH						8	13.33								5	8.33						Excluded		6	10.00		3	5.00		31	51.67					7	11.67		60	
		TOTAL					167	5.35								89	2.85								982	31.45		163	5.22		1476	47.28					245	7.85		3122	
	EIGHTH						14	15.73									Excluded								31	34.83		23	25.84		16	17.98					5	5.62		89	
		TOTAL					181	5.80																	1013	32.45		186	5.96		1492	47.79					250	8.01		3122	
	NINTH						83	33.20																	56	22.40		24	9.60		87	34.80						Excluded		250	
		TOTAL					264	8.46																	1069	34.24		210	6.73		1579	50.58								3122	
	TENTH						77	36.67																	112	53.33			Excluded		21	10.00								210	
		TOTAL					341	10.92																	1181	37.83					1600	51.25								3122	
	ELEVENTH							Excluded																	199	58.36					142	41.64								341	
		TOTAL																							1380	44.20					1742	55.80								3122	
																															Elected										
																																									
PRE POLL																																									
	FIRST			73	1.65		211	4.76		14	0.32		28	0.63		143	3.23		61	1.38		77	1.74		1193	26.91		307	6.93		2039	46.00		5	0.11		282	6.36		4433	
	SECOND			0	0.00		0	0.00		0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		2	40.00			Excluded		0	0.00		5	
		TOTAL		73	1.65		211	4.76		14	0.32		29	0.65		144	3.25		61	1.38		77	1.74		1194	26.93		307	6.93		2041	46.04					282	6.36		4433	
	THIRD			1	7.14		1	7.14			Excluded		3	21.43		2	14.29		1	7.14		1	7.14		2	14.29		2	14.29		1	7.14					0	0.00		14	
		TOTAL		74	1.67		212	4.78					32	0.72		146	3.29		62	1.40		78	1.76		1196	26.98		309	6.97		2042	46.06					282	6.36		4433	
	FOURTH			4	12.50		10	31.25						Excluded		2	6.25		1	3.13		2	6.25		5	15.63		1	3.13		3	9.38					4	12.50		32	
		TOTAL		78	1.76		222	5.01								148	3.34		63	1.42		80	1.80		1201	27.09		310	6.99		2045	46.13					286	6.45		4433	
	FIFTH				Excluded		46	58.97								6	7.69		4	5.13		1	1.28		5	6.41		4	5.13		6	7.69					6	7.69		78	
		TOTAL					268	6.05								154	3.47		67	1.51		81	1.83		1206	27.21		314	7.08		2051	46.27					292	6.59		4433	
	SIXTH						6	8.96								13	19.40			Excluded		4	5.97		11	16.42		26	38.81		2	2.99					5	7.46		67	
		TOTAL					274	6.18								167	3.77					85	1.92		1217	27.45		340	7.67		2053	46.31					297	6.70		4433	
	SEVENTH						11	12.94								13	15.29						Excluded		14	16.47		4	4.71		32	37.65					11	12.94		85	
		TOTAL					285	6.43								180	4.06								1231	27.77		344	7.76		2085	47.03					308	6.95		4433	
	EIGHTH						30	16.67									Excluded								49	27.22		67	37.22		25	13.89					9	5.00		180	
		TOTAL					315	7.11																	1280	28.87		411	9.27		2110	47.60					317	7.15		4433	
	NINTH						105	33.12																	50	15.77		26	8.20		136	42.90						Excluded		317	
		TOTAL					420	9.47																	1330	30.00		437	9.86		2246	50.67								4433	
	TENTH						167	38.22																	211	48.28			Excluded		59	13.50								437	
		TOTAL					587	13.24																	1541	34.76					2305	52.00								4433	
	ELEVENTH							Excluded																	365	62.18					222	37.82								587	
		TOTAL																							1906	43.00					2527	57.00								4433	
																															Elected										
																																									
PROVISIONAL																																									
	FIRST			23	3.89		45	7.60		3	0.51		8	1.35		19	3.21		26	4.39		16	2.70		207	34.97		68	11.49		147	24.83		0	0.00		30	5.07		592	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		23	3.89		45	7.60		3	0.51		8	1.35		19	3.21		26	4.39		16	2.70		207	34.97		68	11.49		147	24.83					30	5.07		592	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		2	66.67		0	0.00					0	0.00		3	
		TOTAL		23	3.89		45	7.60					8	1.35		19	3.21		27	4.56		16	2.70		207	34.97		70	11.82		147	24.83					30	5.07		592	
	FOURTH			2	25.00		3	37.50						Excluded		0	0.00		1	12.50		1	12.50		0	0.00		0	0.00		1	12.50					0	0.00		8	
		TOTAL		25	4.22		48	8.11								19	3.21		28	4.73		17	2.87		207	34.97		70	11.82		148	25.00					30	5.07		592	
	FIFTH				Excluded		15	60.00								1	4.00		3	12.00		1	4.00		1	4.00		1	4.00		2	8.00					1	4.00		25	
		TOTAL					63	10.64								20	3.38		31	5.24		18	3.04		208	35.14		71	11.99		150	25.34					31	5.24		592	
	SIXTH						3	9.68								3	9.68			Excluded		1	3.23		3	9.68		15	48.39		2	6.45					4	12.90		31	
		TOTAL					66	11.15								23	3.89					19	3.21		211	35.64		86	14.53		152	25.68					35	5.91		592	
	SEVENTH						2	10.53								1	5.26						Excluded		6	31.58		2	10.53		7	36.84					1	5.26		19	
		TOTAL					68	11.49								24	4.05								217	36.66		88	14.86		159	26.86					36	6.08		592	
	EIGHTH						6	25.00									Excluded								5	20.83		11	45.83		1	4.17					1	4.17		24	
		TOTAL					74	12.50																	222	37.50		99	16.72		160	27.03					37	6.25		592	
	NINTH						10	27.03																	6	16.22		11	29.73		10	27.03						Excluded		37	
		TOTAL					84	14.19																	228	38.51		110	18.58		170	28.72								592	
	TENTH						42	38.18																	53	48.18			Excluded		15	13.64								110	
		TOTAL					126	21.28																	281	47.47					185	31.25								592	
	ELEVENTH							Excluded																	81	64.29					45	35.71								126	
		TOTAL																							362	61.15					230	38.85								592	
																															Elected										
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
