Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Harris Park		                                	10	1.16	 	265	30.78	 	10	1.16	 	1	0.12	 	1	0.12	 	11	1.28	 	467	54.24	 	66	7.67	 	0	0	 	13	1.51	 	0	0	 	7	0.81	 	0	0	 	1	0.12	 	1	0.12	 	1	0.12	 	4	0.46	 	2	0.23	 	1	0.12	 	861	92.98	 	65	7.02	 	926	1.23
Lake Parramatta		                            	11	0.93	 	509	43.1	 	17	1.44	 	2	0.17	 	2	0.17	 	20	1.69	 	423	35.82	 	137	11.6	 	0	0	 	15	1.27	 	0	0	 	3	0.25	 	1	0.08	 	2	0.17	 	8	0.68	 	1	0.08	 	3	0.25	 	27	2.29	 	0	0	 	1181	95.01	 	62	4.99	 	1243	1.65
Macarthur High		                             	21	1.48	 	567	39.99	 	15	1.06	 	6	0.42	 	3	0.21	 	28	1.97	 	574	40.48	 	145	10.23	 	1	0.07	 	12	0.85	 	0	0	 	4	0.28	 	0	0	 	1	0.07	 	2	0.14	 	4	0.28	 	7	0.49	 	26	1.83	 	2	0.14	 	1418	94.34	 	85	5.66	 	1503	1.99
Melrose		                                    	8	0.84	 	409	42.69	 	15	1.57	 	3	0.31	 	4	0.42	 	22	2.3	 	343	35.8	 	108	11.27	 	0	0	 	9	0.94	 	0	0	 	5	0.52	 	0	0	 	1	0.1	 	2	0.21	 	1	0.1	 	4	0.42	 	18	1.88	 	6	0.63	 	958	96.18	 	38	3.82	 	996	1.32
Northmead		                                  	44	1.13	 	1822	46.63	 	106	2.71	 	4	0.1	 	3	0.08	 	99	2.53	 	1163	29.77	 	448	11.47	 	3	0.08	 	36	0.92	 	1	0.03	 	15	0.38	 	0	0	 	4	0.1	 	7	0.18	 	4	0.1	 	14	0.36	 	129	3.3	 	5	0.13	 	3907	96.42	 	145	3.58	 	4052	5.37
Northmead High		                             	19	1.23	 	782	50.71	 	23	1.49	 	3	0.19	 	2	0.13	 	36	2.33	 	418	27.11	 	194	12.58	 	1	0.06	 	22	1.43	 	0	0	 	6	0.39	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.26	 	30	1.95	 	2	0.13	 	1542	96.8	 	51	3.2	 	1593	2.11
North Rocks Road		                           	27	0.83	 	1787	55.02	 	58	1.79	 	12	0.37	 	5	0.15	 	86	2.65	 	779	23.98	 	355	10.93	 	0	0	 	37	1.14	 	0	0	 	4	0.12	 	0	0	 	4	0.12	 	5	0.15	 	1	0.03	 	5	0.15	 	75	2.31	 	8	0.25	 	3248	97.57	 	81	2.43	 	3329	4.41
Oatlands		                                   	12	0.49	 	1467	60.2	 	33	1.35	 	2	0.08	 	3	0.12	 	51	2.09	 	535	21.95	 	245	10.05	 	3	0.12	 	15	0.62	 	0	0	 	6	0.25	 	0	0	 	0	0	 	3	0.12	 	4	0.16	 	6	0.25	 	47	1.93	 	5	0.21	 	2437	97.44	 	64	2.56	 	2501	3.31
Old Toongabbie		                             	64	1.35	 	1767	37.29	 	101	2.13	 	9	0.19	 	10	0.21	 	153	3.23	 	1945	41.05	 	457	9.65	 	3	0.06	 	70	1.48	 	0	0	 	13	0.27	 	1	0.02	 	4	0.08	 	14	0.3	 	1	0.02	 	13	0.27	 	105	2.22	 	8	0.17	 	4738	96.07	 	194	3.93	 	4932	6.53
Parramatta		                                 	21	1.46	 	465	32.34	 	34	2.36	 	7	0.49	 	1	0.07	 	44	3.06	 	675	46.94	 	138	9.6	 	1	0.07	 	10	0.7	 	1	0.07	 	6	0.42	 	0	0	 	1	0.07	 	0	0	 	3	0.21	 	6	0.42	 	23	1.6	 	2	0.14	 	1438	94.36	 	86	5.64	 	1524	2.02
Parramatta East		                            	22	2.07	 	423	39.76	 	13	1.22	 	2	0.19	 	2	0.19	 	30	2.82	 	451	42.39	 	98	9.21	 	2	0.19	 	3	0.28	 	0	0	 	2	0.19	 	0	0	 	0	0	 	1	0.09	 	0	0	 	1	0.09	 	14	1.32	 	0	0	 	1064	93.42	 	75	6.58	 	1139	1.51
Parramatta High		                            	7	1.94	 	121	33.52	 	12	3.32	 	2	0.55	 	0	0	 	7	1.94	 	147	40.72	 	47	13.02	 	0	0	 	2	0.55	 	1	0.28	 	5	1.39	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.55	 	8	2.22	 	0	0	 	361	96.78	 	12	3.22	 	373	0.49
Parramatta North		                           	19	1.11	 	678	39.46	 	27	1.57	 	5	0.29	 	4	0.23	 	39	2.27	 	697	40.57	 	165	9.6	 	1	0.06	 	19	1.11	 	3	0.17	 	1	0.06	 	0	0	 	2	0.12	 	6	0.35	 	1	0.06	 	8	0.47	 	40	2.33	 	3	0.17	 	1718	94.86	 	93	5.14	 	1811	2.4
Pendle Hill (Parramatta)		                   	15	1.35	 	357	32.08	 	11	0.99	 	7	0.63	 	1	0.09	 	28	2.52	 	511	45.91	 	115	10.33	 	2	0.18	 	12	1.08	 	0	0	 	8	0.72	 	2	0.18	 	1	0.09	 	2	0.18	 	2	0.18	 	5	0.45	 	34	3.05	 	0	0	 	1113	92.9	 	85	7.1	 	1198	1.59
Pendle Hill Central (Parramatta)		           	8	2.66	 	102	33.89	 	4	1.33	 	1	0.33	 	3	1	 	5	1.66	 	139	46.18	 	23	7.64	 	0	0	 	4	1.33	 	0	0	 	1	0.33	 	0	0	 	0	0	 	2	0.66	 	0	0	 	1	0.33	 	8	2.66	 	0	0	 	301	96.78	 	10	3.22	 	311	0.41
Pendle Hill North		                          	14	2	 	263	37.52	 	10	1.43	 	5	0.71	 	2	0.29	 	19	2.71	 	256	36.52	 	80	11.41	 	0	0	 	10	1.43	 	0	0	 	3	0.43	 	0	0	 	0	0	 	5	0.71	 	0	0	 	4	0.57	 	28	3.99	 	2	0.29	 	701	95.37	 	34	4.63	 	735	0.97
Rydalmere		                                  	26	1.64	 	550	34.68	 	21	1.32	 	4	0.25	 	5	0.32	 	40	2.52	 	709	44.7	 	153	9.65	 	1	0.06	 	30	1.89	 	0	0	 	2	0.13	 	0	0	 	6	0.38	 	4	0.25	 	1	0.06	 	7	0.44	 	19	1.2	 	8	0.5	 	1586	94.8	 	87	5.2	 	1673	2.22
Rydalmere North		                            	25	0.98	 	1142	44.66	 	39	1.53	 	8	0.31	 	5	0.2	 	73	2.85	 	838	32.77	 	308	12.05	 	0	0	 	17	0.66	 	0	0	 	7	0.27	 	0	0	 	1	0.04	 	25	0.98	 	3	0.12	 	8	0.31	 	55	2.15	 	3	0.12	 	2557	96.02	 	106	3.98	 	2663	3.53
Sydney (Parramatta)		                        	2	1.96	 	24	23.53	 	5	4.9	 	0	0	 	0	0	 	1	0.98	 	52	50.98	 	13	12.75	 	0	0	 	1	0.98	 	0	0	 	1	0.98	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.98	 	2	1.96	 	0	0	 	102	97.14	 	3	2.86	 	105	0.14
Telopea		                                    	26	0.96	 	1088	40.03	 	35	1.29	 	6	0.22	 	11	0.4	 	86	3.16	 	1047	38.52	 	304	11.18	 	2	0.07	 	20	0.74	 	1	0.04	 	7	0.26	 	0	0	 	1	0.04	 	9	0.33	 	2	0.07	 	11	0.4	 	57	2.1	 	5	0.18	 	2718	95.97	 	114	4.03	 	2832	3.75
Toongabbie East		                            	11	1.1	 	336	33.6	 	15	1.5	 	1	0.1	 	3	0.3	 	40	4	 	458	45.8	 	94	9.4	 	1	0.1	 	10	1	 	0	0	 	3	0.3	 	0	0	 	1	0.1	 	3	0.3	 	0	0	 	6	0.6	 	15	1.5	 	3	0.3	 	1000	96.15	 	40	3.85	 	1040	1.38
Wentworthville Central		                     	7	1.28	 	181	33.03	 	7	1.28	 	2	0.36	 	0	0	 	17	3.1	 	246	44.89	 	60	10.95	 	0	0	 	6	1.09	 	0	0	 	2	0.36	 	0	0	 	0	0	 	1	0.18	 	0	0	 	3	0.55	 	15	2.74	 	1	0.18	 	548	93.52	 	38	6.48	 	586	0.78
Westmead (Parramatta)		                      	5	1.24	 	131	32.51	 	11	2.73	 	1	0.25	 	0	0	 	4	0.99	 	186	46.15	 	51	12.66	 	0	0	 	4	0.99	 	0	0	 	1	0.25	 	0	0	 	0	0	 	0	0	 	1	0.25	 	3	0.74	 	5	1.24	 	0	0	 	403	98.29	 	7	1.71	 	410	0.54
Westmead Hospital		                          	4	1.36	 	98	33.22	 	5	1.69	 	0	0	 	0	0	 	5	1.69	 	131	44.41	 	36	12.2	 	0	0	 	1	0.34	 	0	0	 	1	0.34	 	0	0	 	2	0.68	 	1	0.34	 	0	0	 	2	0.68	 	9	3.05	 	0	0	 	295	95.47	 	14	4.53	 	309	0.41
Westmead North		                             	12	1.81	 	238	35.95	 	12	1.81	 	1	0.15	 	2	0.3	 	9	1.36	 	291	43.96	 	66	9.97	 	0	0	 	5	0.76	 	0	0	 	3	0.45	 	0	0	 	0	0	 	2	0.3	 	0	0	 	6	0.91	 	12	1.81	 	3	0.45	 	662	95.39	 	32	4.61	 	694	0.92
Winston Heights		                            	16	1.29	 	608	49.11	 	24	1.94	 	3	0.24	 	0	0	 	34	2.75	 	359	29	 	130	10.5	 	1	0.08	 	11	0.89	 	0	0	 	5	0.4	 	0	0	 	0	0	 	3	0.24	 	0	0	 	9	0.73	 	33	2.67	 	2	0.16	 	1238	96.95	 	39	3.05	 	1277	1.69
Winston Hills		                              	37	1.01	 	1929	52.65	 	83	2.27	 	16	0.44	 	1	0.03	 	77	2.1	 	958	26.15	 	372	10.15	 	3	0.08	 	38	1.04	 	0	0	 	9	0.25	 	0	0	 	0	0	 	24	0.66	 	2	0.05	 	11	0.3	 	88	2.4	 	16	0.44	 	3664	97.34	 	100	2.66	 	3764	4.99
Woodberry Village		                          	7	1.58	 	259	58.6	 	4	0.9	 	1	0.23	 	1	0.23	 	16	3.62	 	88	19.91	 	46	10.41	 	0	0	 	2	0.45	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.45	 	1	0.23	 	4	0.9	 	9	2.04	 	2	0.45	 	442	94.24	 	27	5.76	 	469	0.62
Special Hospitals		                          	5	1.58	 	188	59.49	 	1	0.32	 	0	0	 	1	0.32	 	3	0.95	 	98	31.01	 	11	3.48	 	1	0.32	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.32	 	0	0	 	0	0	 	6	1.9	 	1	0.32	 	316	92.67	 	25	7.33	 	341	0.45
Prison Mobiles		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Total Ordinary		                             	750	1.2	 	27232	43.67	 	1011	1.62	 	155	0.25	 	121	0.19	 	1602	2.57	 	22038	35.34	 	6557	10.51	 	54	0.09	 	646	1.04	 	10	0.02	 	183	0.29	 	7	0.01	 	39	0.06	 	166	0.27	 	52	0.08	 	242	0.39	 	1366	2.19	 	130	0.21	 	62361	95.93	 	2645	4.07	 	65006	86.13
ABSENT		                                     	62	1.35	 	1839	39.93	 	150	3.26	 	24	0.52	 	6	0.13	 	140	3.04	 	1608	34.91	 	532	11.55	 	1	0.02	 	75	1.63	 	1	0.02	 	25	0.54	 	0	0	 	6	0.13	 	3	0.07	 	14	0.3	 	25	0.54	 	87	1.89	 	8	0.17	 	4606	97.71	 	108	2.29	 	4714	6.25
POSTAL		                                     	34	1.28	 	1352	50.92	 	23	0.87	 	5	0.19	 	8	0.3	 	44	1.66	 	886	33.37	 	180	6.78	 	0	0	 	28	1.05	 	0	0	 	9	0.34	 	0	0	 	1	0.04	 	18	0.68	 	2	0.08	 	9	0.34	 	55	2.07	 	1	0.04	 	2655	96.86	 	86	3.14	 	2741	3.63
PRE_POLL		                                   	35	1.45	 	1034	42.83	 	46	1.91	 	8	0.33	 	2	0.08	 	45	1.86	 	926	38.36	 	223	9.24	 	2	0.08	 	17	0.7	 	0	0	 	6	0.25	 	2	0.08	 	2	0.08	 	3	0.12	 	1	0.04	 	16	0.66	 	42	1.74	 	4	0.17	 	2414	97.5	 	62	2.5	 	2476	3.28
PROVISIONAL		                                	6	1.17	 	190	36.89	 	12	2.33	 	4	0.78	 	1	0.19	 	13	2.52	 	226	43.88	 	38	7.38	 	0	0	 	5	0.97	 	0	0	 	3	0.58	 	0	0	 	0	0	 	1	0.19	 	1	0.19	 	6	1.17	 	9	1.75	 	0	0	 	515	95.72	 	23	4.28	 	538	0.71
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	887	1.22	 	31647	43.62	 	1242	1.71	 	196	0.27	 	138	0.19	 	1844	2.54	 	25684	35.4	 	7530	10.38	 	57	0.08	 	771	1.06	 	11	0.02	 	226	0.31	 	9	0.01	 	48	0.07	 	191	0.26	 	70	0.1	 	298	0.41	 	1559	2.15	 	143	0.2	 	72551	96.13	 	2924	3.87	 	75475	97.15
 																																																																			


Paterson (78499)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Anna Bay		                                   	22	1.25	 	676	38.43	 	46	2.62	 	1	0.06	 	6	0.34	 	22	1.25	 	746	42.41	 	132	7.5	 	1	0.06	 	27	1.53	 	0	0	 	14	0.8	 	0	0	 	2	0.11	 	3	0.17	 	2	0.11	 	11	0.63	 	41	2.33	 	7	0.4	 	1759	96.49	 	64	3.51	 	1823	2.38
Ashtonfield		                                	6	0.47	 	487	38.2	 	40	3.14	 	0	0	 	1	0.08	 	9	0.71	 	527	41.33	 	126	9.88	 	2	0.16	 	23	1.8	 	0	0	 	6	0.47	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.39	 	41	3.22	 	2	0.16	 	1275	98.68	 	17	1.32	 	1292	1.69
Bandon Grove		                               	2	1.41	 	96	67.61	 	0	0	 	0	0	 	0	0	 	1	0.7	 	27	19.01	 	8	5.63	 	0	0	 	3	2.11	 	0	0	 	1	0.7	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	2.82	 	0	0	 	142	97.93	 	3	2.07	 	145	0.19
Barrington		                                 	1	0.32	 	220	70.29	 	2	0.64	 	0	0	 	1	0.32	 	2	0.64	 	40	12.78	 	17	5.43	 	0	0	 	21	6.71	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	9	2.88	 	0	0	 	313	97.51	 	8	2.49	 	321	0.42
Bobs Farm		                                  	4	1.7	 	110	46.81	 	4	1.7	 	0	0	 	0	0	 	2	0.85	 	74	31.49	 	15	6.38	 	0	0	 	13	5.53	 	0	0	 	1	0.43	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	12	5.11	 	0	0	 	235	97.11	 	7	2.89	 	242	0.32
Bolwarra		                                   	10	1.01	 	539	54.39	 	25	2.52	 	0	0	 	1	0.1	 	8	0.81	 	232	23.41	 	128	12.92	 	0	0	 	22	2.22	 	0	0	 	2	0.2	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.5	 	19	1.92	 	0	0	 	991	98.22	 	18	1.78	 	1009	1.32
Booral		                                     	6	1.76	 	154	45.16	 	9	2.64	 	0	0	 	1	0.29	 	7	2.05	 	100	29.33	 	22	6.45	 	0	0	 	33	9.68	 	0	0	 	4	1.17	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.29	 	4	1.17	 	0	0	 	341	97.71	 	8	2.29	 	349	0.46
Bulahdelah		                                 	7	0.68	 	473	45.88	 	15	1.45	 	2	0.19	 	0	0	 	1	0.1	 	201	19.5	 	45	4.36	 	1	0.1	 	247	23.96	 	0	0	 	4	0.39	 	0	0	 	1	0.1	 	1	0.1	 	2	0.19	 	2	0.19	 	28	2.72	 	1	0.1	 	1031	95.55	 	48	4.45	 	1079	1.41
Bungwahl		                                   	3	1.22	 	97	39.43	 	11	4.47	 	0	0	 	0	0	 	6	2.44	 	84	34.15	 	14	5.69	 	0	0	 	23	9.35	 	0	0	 	1	0.41	 	0	0	 	1	0.41	 	0	0	 	0	0	 	3	1.22	 	3	1.22	 	0	0	 	246	99.19	 	2	0.81	 	248	0.32
Bunyah		                                     	1	2.44	 	24	58.54	 	0	0	 	0	0	 	0	0	 	0	0	 	4	9.76	 	7	17.07	 	0	0	 	5	12.2	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	41	95.35	 	2	4.65	 	43	0.06
Clarence Town		                              	11	1.23	 	332	37.09	 	32	3.58	 	0	0	 	0	0	 	10	1.12	 	365	40.78	 	78	8.72	 	0	0	 	35	3.91	 	0	0	 	3	0.34	 	0	0	 	1	0.11	 	0	0	 	1	0.11	 	3	0.34	 	22	2.46	 	2	0.22	 	895	97.81	 	20	2.19	 	915	1.19
Coolongolook		                               	0	0	 	83	49.7	 	1	0.6	 	0	0	 	0	0	 	3	1.8	 	51	30.54	 	7	4.19	 	0	0	 	16	9.58	 	0	0	 	1	0.6	 	0	0	 	0	0	 	1	0.6	 	0	0	 	3	1.8	 	1	0.6	 	0	0	 	167	98.82	 	2	1.18	 	169	0.22
Coomba Park		                                	2	0.81	 	112	45.34	 	8	3.24	 	0	0	 	2	0.81	 	4	1.62	 	90	36.44	 	17	6.88	 	0	0	 	8	3.24	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	1.21	 	1	0.4	 	247	97.24	 	7	2.76	 	254	0.33
Corlette		                                   	11	0.88	 	679	54.02	 	21	1.67	 	0	0	 	4	0.32	 	8	0.64	 	361	28.72	 	125	9.94	 	2	0.16	 	12	0.95	 	0	0	 	3	0.24	 	1	0.08	 	1	0.08	 	3	0.24	 	0	0	 	8	0.64	 	16	1.27	 	2	0.16	 	1257	97.97	 	26	2.03	 	1283	1.67
Dungog		                                     	20	1.13	 	890	50.2	 	38	2.14	 	3	0.17	 	6	0.34	 	22	1.24	 	567	31.98	 	112	6.32	 	1	0.06	 	55	3.1	 	0	0	 	11	0.62	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.23	 	42	2.37	 	2	0.11	 	1773	98.23	 	32	1.77	 	1805	2.36
East Maitland		                              	4	0.55	 	264	36.07	 	42	5.74	 	0	0	 	1	0.14	 	11	1.5	 	299	40.85	 	58	7.92	 	0	0	 	26	3.55	 	0	0	 	2	0.27	 	0	0	 	2	0.27	 	2	0.27	 	1	0.14	 	3	0.41	 	17	2.32	 	0	0	 	732	96.06	 	30	3.94	 	762	0.99
East Maitland Heights		                      	10	0.72	 	491	35.3	 	48	3.45	 	1	0.07	 	1	0.07	 	16	1.15	 	588	42.27	 	137	9.85	 	0	0	 	53	3.81	 	1	0.07	 	6	0.43	 	0	0	 	2	0.14	 	1	0.07	 	3	0.22	 	3	0.22	 	30	2.16	 	0	0	 	1391	95.54	 	65	4.46	 	1456	1.9
East Maitland South		                        	7	0.49	 	581	41.06	 	37	2.61	 	0	0	 	3	0.21	 	11	0.78	 	531	37.53	 	155	10.95	 	2	0.14	 	38	2.69	 	0	0	 	6	0.42	 	0	0	 	1	0.07	 	4	0.28	 	0	0	 	6	0.42	 	33	2.33	 	0	0	 	1415	97.05	 	43	2.95	 	1458	1.9
Eastville		                                  	5	1.02	 	115	23.37	 	18	3.66	 	1	0.2	 	1	0.2	 	3	0.61	 	302	61.38	 	20	4.07	 	1	0.2	 	13	2.64	 	0	0	 	6	1.22	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.2	 	6	1.22	 	0	0	 	492	93.89	 	32	6.11	 	524	0.68
Fern Bay		                                   	7	0.84	 	218	26.17	 	19	2.28	 	1	0.12	 	5	0.6	 	6	0.72	 	458	54.98	 	48	5.76	 	3	0.36	 	51	6.12	 	0	0	 	3	0.36	 	0	0	 	1	0.12	 	1	0.12	 	0	0	 	2	0.24	 	9	1.08	 	1	0.12	 	833	94.55	 	48	5.45	 	881	1.15
Gillieston Heights		                         	6	1.32	 	171	37.5	 	4	0.88	 	0	0	 	1	0.22	 	9	1.97	 	209	45.83	 	31	6.8	 	1	0.22	 	13	2.85	 	0	0	 	4	0.88	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.88	 	3	0.66	 	0	0	 	456	96.61	 	16	3.39	 	472	0.62
Glen William		                               	1	1.11	 	58	64.44	 	1	1.11	 	0	0	 	0	0	 	1	1.11	 	19	21.11	 	3	3.33	 	0	0	 	6	6.67	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.11	 	0	0	 	0	0	 	0	0	 	90	98.9	 	1	1.1	 	91	0.12
Gloucester		                                 	14	0.83	 	1064	63.03	 	14	0.83	 	1	0.06	 	1	0.06	 	20	1.18	 	310	18.36	 	100	5.92	 	0	0	 	89	5.27	 	0	0	 	5	0.3	 	0	0	 	6	0.36	 	2	0.12	 	0	0	 	3	0.18	 	58	3.44	 	1	0.06	 	1688	96.51	 	61	3.49	 	1749	2.28
Gloucester Hospital		                        	1	0.23	 	308	70.64	 	4	0.92	 	0	0	 	2	0.46	 	4	0.92	 	66	15.14	 	11	2.52	 	1	0.23	 	9	2.06	 	0	0	 	1	0.23	 	0	0	 	0	0	 	0	0	 	1	0.23	 	0	0	 	28	6.42	 	0	0	 	436	96.89	 	14	3.11	 	450	0.59
Gresford		                                   	7	1.25	 	338	60.36	 	10	1.79	 	1	0.18	 	1	0.18	 	0	0	 	124	22.14	 	46	8.21	 	0	0	 	21	3.75	 	0	0	 	1	0.18	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.18	 	10	1.79	 	0	0	 	560	96.39	 	21	3.61	 	581	0.76
Hawks Nest		                                 	7	0.81	 	406	46.72	 	12	1.38	 	3	0.35	 	0	0	 	3	0.35	 	330	37.97	 	48	5.52	 	0	0	 	36	4.14	 	0	0	 	1	0.12	 	0	0	 	0	0	 	1	0.12	 	0	0	 	1	0.12	 	19	2.19	 	2	0.23	 	869	97.64	 	21	2.36	 	890	1.16
Hinton		                                     	10	2.39	 	246	58.71	 	14	3.34	 	0	0	 	0	0	 	2	0.48	 	105	25.06	 	18	4.3	 	0	0	 	9	2.15	 	0	0	 	1	0.24	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	12	2.86	 	2	0.48	 	419	97.22	 	12	2.78	 	431	0.56
Karuah		                                     	18	2.02	 	344	38.57	 	10	1.12	 	3	0.34	 	3	0.34	 	10	1.12	 	367	41.14	 	47	5.27	 	2	0.22	 	54	6.05	 	1	0.11	 	8	0.9	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.56	 	20	2.24	 	0	0	 	892	98.24	 	16	1.76	 	908	1.18
Largs		                                      	9	1.4	 	326	50.78	 	10	1.56	 	1	0.16	 	0	0	 	18	2.8	 	179	27.88	 	60	9.35	 	1	0.16	 	18	2.8	 	0	0	 	4	0.62	 	0	0	 	1	0.16	 	1	0.16	 	2	0.31	 	2	0.31	 	9	1.4	 	1	0.16	 	642	96.98	 	20	3.02	 	662	0.86
Lemon Tree Passage		                         	17	1.33	 	477	37.24	 	27	2.11	 	2	0.16	 	4	0.31	 	14	1.09	 	558	43.56	 	106	8.27	 	0	0	 	38	2.97	 	0	0	 	5	0.39	 	0	0	 	1	0.08	 	1	0.08	 	0	0	 	7	0.55	 	24	1.87	 	0	0	 	1281	96.97	 	40	3.03	 	1321	1.72
Lorn		                                       	11	0.94	 	525	44.68	 	47	4	 	1	0.09	 	4	0.34	 	14	1.19	 	385	32.77	 	136	11.57	 	0	0	 	26	2.21	 	0	0	 	7	0.6	 	1	0.09	 	1	0.09	 	1	0.09	 	0	0	 	3	0.26	 	13	1.11	 	0	0	 	1175	97.59	 	29	2.41	 	1204	1.57
Maitland		                                   	12	1.7	 	150	21.31	 	29	4.12	 	0	0	 	3	0.43	 	12	1.7	 	427	60.65	 	44	6.25	 	0	0	 	15	2.13	 	0	0	 	0	0	 	0	0	 	1	0.14	 	1	0.14	 	0	0	 	0	0	 	7	0.99	 	3	0.43	 	704	94.37	 	42	5.63	 	746	0.97
Maitland Grossmann High		                    	2	0.57	 	121	34.57	 	14	4	 	1	0.29	 	1	0.29	 	3	0.86	 	143	40.86	 	38	10.86	 	1	0.29	 	8	2.29	 	0	0	 	4	1.14	 	0	0	 	1	0.29	 	1	0.29	 	0	0	 	1	0.29	 	10	2.86	 	1	0.29	 	350	98.31	 	6	1.69	 	356	0.46
Maitland High		                              	15	1.22	 	473	38.61	 	34	2.78	 	0	0	 	4	0.33	 	7	0.57	 	478	39.02	 	142	11.59	 	5	0.41	 	28	2.29	 	1	0.08	 	5	0.41	 	1	0.08	 	1	0.08	 	3	0.24	 	0	0	 	5	0.41	 	22	1.8	 	1	0.08	 	1225	97.22	 	35	2.78	 	1260	1.64
Maitland Hospital		                          	10	1.31	 	287	37.61	 	22	2.88	 	2	0.26	 	1	0.13	 	8	1.05	 	306	40.1	 	65	8.52	 	2	0.26	 	27	3.54	 	0	0	 	4	0.52	 	0	0	 	0	0	 	1	0.13	 	0	0	 	5	0.66	 	21	2.75	 	2	0.26	 	763	97.82	 	17	2.18	 	780	1.02
Maitland West		                              	11	1.33	 	257	31.19	 	25	3.03	 	1	0.12	 	1	0.12	 	11	1.33	 	393	47.69	 	73	8.86	 	0	0	 	27	3.28	 	1	0.12	 	5	0.61	 	0	0	 	1	0.12	 	0	0	 	0	0	 	6	0.73	 	9	1.09	 	3	0.36	 	824	94.82	 	45	5.18	 	869	1.13
Mallabula		                                  	2	0.6	 	120	35.71	 	11	3.27	 	1	0.3	 	0	0	 	2	0.6	 	154	45.83	 	30	8.93	 	0	0	 	4	1.19	 	0	0	 	1	0.3	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.6	 	6	1.79	 	3	0.89	 	336	98.25	 	6	1.75	 	342	0.45
Martins Creek		                              	0	0	 	86	42.16	 	12	5.88	 	0	0	 	0	0	 	1	0.49	 	62	30.39	 	25	12.25	 	0	0	 	8	3.92	 	0	0	 	2	0.98	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.49	 	7	3.43	 	0	0	 	204	95.33	 	10	4.67	 	214	0.28
Medowie		                                    	14	0.87	 	629	39.12	 	65	4.04	 	2	0.12	 	3	0.19	 	15	0.93	 	581	36.13	 	150	9.33	 	1	0.06	 	70	4.35	 	0	0	 	8	0.5	 	2	0.12	 	0	0	 	1	0.06	 	3	0.19	 	4	0.25	 	53	3.3	 	7	0.44	 	1608	97.45	 	42	2.55	 	1650	2.15
