Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Kingston		                                   	17	0.57	 	3	0.1	 	0	0	 	11	0.37	 	94	3.15	 	12	0.4	 	70	2.34	 	7	0.23	 	504	16.87	 	1	0.03	 	18	0.6	 	9	0.3	 	5	0.17	 	228	7.63	 	11	0.37	 	1529	51.19	 	401	13.42	 	18	0.6	 	0	0	 	10	0.33	 	38	1.27	 	1	0.03	 	2987	96.92	 	95	3.08	 	3082	4.24
Kuraby (Rankin)		                            	2	0.33	 	0	0	 	0	0	 	3	0.5	 	14	2.32	 	1	0.17	 	23	3.81	 	1	0.17	 	72	11.92	 	0	0	 	3	0.5	 	0	0	 	0	0	 	40	6.62	 	2	0.33	 	260	43.05	 	164	27.15	 	2	0.33	 	0	0	 	2	0.33	 	15	2.48	 	0	0	 	604	96.03	 	25	3.97	 	629	0.86
Loganholme (Rankin)		                        	4	0.22	 	0	0	 	0	0	 	6	0.34	 	26	1.45	 	3	0.17	 	49	2.74	 	5	0.28	 	245	13.71	 	0	0	 	10	0.56	 	1	0.06	 	3	0.17	 	130	7.27	 	1	0.06	 	583	32.62	 	693	38.78	 	5	0.28	 	1	0.06	 	3	0.17	 	19	1.06	 	0	0	 	1787	96.08	 	73	3.92	 	1860	2.56
Mabel Park		                                 	26	0.87	 	2	0.07	 	1	0.03	 	16	0.53	 	47	1.57	 	2	0.07	 	56	1.87	 	8	0.27	 	463	15.46	 	2	0.07	 	23	0.77	 	2	0.07	 	2	0.07	 	224	7.48	 	6	0.2	 	1491	49.8	 	542	18.1	 	25	0.84	 	0	0	 	6	0.2	 	49	1.64	 	1	0.03	 	2994	96.55	 	107	3.45	 	3101	4.26
Marsden		                                    	15	0.81	 	2	0.11	 	1	0.05	 	4	0.22	 	18	0.97	 	6	0.32	 	46	2.49	 	3	0.16	 	352	19.06	 	0	0	 	8	0.43	 	2	0.11	 	1	0.05	 	89	4.82	 	4	0.22	 	870	47.1	 	378	20.47	 	8	0.43	 	0	0	 	3	0.16	 	37	2	 	0	0	 	1847	96.6	 	65	3.4	 	1912	2.63
Park Ridge (Rankin)		                        	9	0.54	 	1	0.06	 	2	0.12	 	8	0.48	 	25	1.49	 	2	0.12	 	25	1.49	 	3	0.18	 	320	19.05	 	4	0.24	 	6	0.36	 	1	0.06	 	1	0.06	 	134	7.98	 	4	0.24	 	579	34.46	 	525	31.25	 	7	0.42	 	1	0.06	 	4	0.24	 	18	1.07	 	1	0.06	 	1680	97.5	 	43	2.5	 	1723	2.37
Regents Park		                               	9	0.46	 	0	0	 	0	0	 	10	0.51	 	22	1.12	 	2	0.1	 	23	1.17	 	3	0.15	 	283	14.42	 	2	0.1	 	6	0.31	 	1	0.05	 	0	0	 	128	6.52	 	0	0	 	825	42.05	 	596	30.38	 	8	0.41	 	4	0.2	 	0	0	 	40	2.04	 	0	0	 	1962	93.25	 	142	6.75	 	2104	2.89
Runcorn (Rankin)		                           	14	0.51	 	1	0.04	 	1	0.04	 	20	0.73	 	73	2.67	 	3	0.11	 	52	1.9	 	3	0.11	 	225	8.22	 	2	0.07	 	7	0.26	 	2	0.07	 	3	0.11	 	225	8.22	 	4	0.15	 	1128	41.2	 	911	33.27	 	9	0.33	 	0	0	 	2	0.07	 	52	1.9	 	1	0.04	 	2738	96.14	 	110	3.86	 	2848	3.91
Runcorn Heights		                            	12	0.33	 	1	0.03	 	0	0	 	39	1.08	 	132	3.67	 	7	0.19	 	42	1.17	 	1	0.03	 	275	7.64	 	3	0.08	 	12	0.33	 	0	0	 	4	0.11	 	378	10.5	 	5	0.14	 	1468	40.77	 	1127	31.3	 	8	0.22	 	0	0	 	12	0.33	 	74	2.05	 	1	0.03	 	3601	97.59	 	89	2.41	 	3690	5.07
Slacks Creek (Rankin)		                      	2	0.33	 	0	0	 	0	0	 	1	0.16	 	15	2.46	 	0	0	 	13	2.13	 	1	0.16	 	82	13.44	 	0	0	 	2	0.33	 	1	0.16	 	1	0.16	 	46	7.54	 	2	0.33	 	207	33.93	 	217	35.57	 	1	0.16	 	0	0	 	2	0.33	 	17	2.79	 	0	0	 	610	98.39	 	10	1.61	 	620	0.85
Sunnybank (Rankin)		                         	5	1.21	 	1	0.24	 	0	0	 	7	1.69	 	11	2.66	 	1	0.24	 	2	0.48	 	1	0.24	 	43	10.41	 	0	0	 	1	0.24	 	0	0	 	0	0	 	22	5.33	 	1	0.24	 	182	44.07	 	129	31.23	 	0	0	 	0	0	 	2	0.48	 	5	1.21	 	0	0	 	413	98.1	 	8	1.9	 	421	0.58
Sunnybank Hills		                            	17	0.37	 	0	0	 	0	0	 	54	1.16	 	223	4.8	 	5	0.11	 	45	0.97	 	2	0.04	 	364	7.83	 	1	0.02	 	6	0.13	 	2	0.04	 	4	0.09	 	443	9.54	 	4	0.09	 	1770	38.1	 	1606	34.57	 	13	0.28	 	0	0	 	6	0.13	 	79	1.7	 	2	0.04	 	4646	97.56	 	116	2.44	 	4762	6.54
Woodridge		                                  	20	0.87	 	1	0.04	 	0	0	 	16	0.7	 	22	0.96	 	4	0.17	 	34	1.49	 	5	0.22	 	373	16.31	 	2	0.09	 	13	0.57	 	4	0.17	 	4	0.17	 	159	6.95	 	3	0.13	 	1211	52.95	 	363	15.87	 	10	0.44	 	0	0	 	6	0.26	 	37	1.62	 	0	0	 	2287	93.42	 	161	6.58	 	2448	3.36
Woodridge North		                            	17	0.87	 	0	0	 	2	0.1	 	8	0.41	 	16	0.82	 	4	0.2	 	25	1.28	 	3	0.15	 	327	16.7	 	2	0.1	 	11	0.56	 	0	0	 	1	0.05	 	144	7.35	 	4	0.2	 	1029	52.55	 	327	16.7	 	6	0.31	 	0	0	 	10	0.51	 	22	1.12	 	0	0	 	1958	95.28	 	97	4.72	 	2055	2.82
Yugumbir		                                   	28	0.78	 	2	0.06	 	0	0	 	16	0.44	 	82	2.28	 	8	0.22	 	35	0.97	 	5	0.14	 	454	12.62	 	1	0.03	 	14	0.39	 	2	0.06	 	1	0.03	 	354	9.84	 	12	0.33	 	1461	40.61	 	1039	28.88	 	19	0.53	 	0	0	 	8	0.22	 	57	1.58	 	0	0	 	3598	95.97	 	151	4.03	 	3749	5.15
Special Hospitals		                          	4	1.21	 	0	0	 	0	0	 	1	0.3	 	8	2.42	 	3	0.91	 	1	0.3	 	0	0	 	20	6.06	 	1	0.3	 	0	0	 	0	0	 	1	0.3	 	4	1.21	 	1	0.3	 	151	45.76	 	134	40.61	 	0	0	 	0	0	 	0	0	 	1	0.3	 	0	0	 	330	91.67	 	30	8.33	 	360	0.49
Total Ordinary		                             	380	0.65	 	23	0.04	 	20	0.03	 	365	0.62	 	1327	2.26	 	106	0.18	 	976	1.66	 	86	0.15	 	7622	12.97	 	27	0.05	 	251	0.43	 	43	0.07	 	61	0.1	 	4690	7.98	 	130	0.22	 	25454	43.33	 	15810	26.91	 	235	0.4	 	10	0.02	 	135	0.23	 	986	1.68	 	14	0.02	 	58751	96.15	 	2353	3.85	 	61104	83.97
ABSENT		                                     	32	0.57	 	1	0.02	 	1	0.02	 	41	0.73	 	136	2.42	 	14	0.25	 	121	2.15	 	6	0.11	 	752	13.39	 	3	0.05	 	23	0.41	 	10	0.18	 	6	0.11	 	332	5.91	 	9	0.16	 	2262	40.28	 	1632	29.06	 	50	0.89	 	5	0.09	 	16	0.28	 	162	2.88	 	2	0.04	 	5616	97.7	 	132	2.3	 	5748	7.9
POSTAL		                                     	8	0.35	 	2	0.09	 	0	0	 	22	0.97	 	78	3.45	 	1	0.04	 	29	1.28	 	5	0.22	 	324	14.34	 	0	0	 	1	0.04	 	2	0.09	 	2	0.09	 	150	6.64	 	7	0.31	 	988	43.74	 	592	26.21	 	15	0.66	 	0	0	 	2	0.09	 	29	1.28	 	2	0.09	 	2259	98.52	 	34	1.48	 	2293	3.15
PRE_POLL		                                   	19	0.63	 	0	0	 	0	0	 	31	1.03	 	47	1.57	 	7	0.23	 	59	1.97	 	11	0.37	 	417	13.91	 	2	0.07	 	14	0.47	 	4	0.13	 	2	0.07	 	169	5.64	 	7	0.23	 	1311	43.73	 	823	27.45	 	13	0.43	 	1	0.03	 	9	0.3	 	51	1.7	 	1	0.03	 	2998	98.36	 	50	1.64	 	3048	4.19
PROVISIONAL		                                	1	0.18	 	0	0	 	0	0	 	4	0.72	 	10	1.8	 	2	0.36	 	7	1.26	 	1	0.18	 	90	16.19	 	0	0	 	3	0.54	 	1	0.18	 	0	0	 	28	5.04	 	3	0.54	 	283	50.9	 	99	17.81	 	0	0	 	1	0.18	 	1	0.18	 	22	3.96	 	0	0	 	556	96.7	 	19	3.3	 	575	0.79
Division Summary		                           	440	0.63	 	26	0.04	 	21	0.03	 	463	0.66	 	1598	2.28	 	130	0.19	 	1192	1.7	 	109	0.16	 	9205	13.12	 	32	0.05	 	292	0.42	 	60	0.09	 	71	0.1	 	5369	7.65	 	156	0.22	 	30298	43.17	 	18956	27.01	 	313	0.45	 	17	0.02	 	163	0.23	 	1250	1.78	 	19	0.03	 	70180	96.44	 	2588	3.56	 	72768	93.33
 																																																																												

Ryan (83455)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Brisbane City (Ryan)		                       	3	0.51	 	0	0	 	0	0	 	11	1.86	 	14	2.37	 	1	0.17	 	2	0.34	 	0	0	 	13	2.2	 	0	0	 	0	0	 	1	0.17	 	0	0	 	113	19.12	 	1	0.17	 	182	30.8	 	204	34.52	 	8	1.35	 	1	0.17	 	7	1.18	 	30	5.08	 	0	0	 	591	98.01	 	12	1.99	 	603	0.76
Brookfield		                                 	2	0.12	 	0	0	 	0	0	 	6	0.37	 	58	3.53	 	0	0	 	13	0.79	 	1	0.06	 	73	4.45	 	0	0	 	1	0.06	 	0	0	 	0	0	 	229	13.95	 	1	0.06	 	208	12.68	 	990	60.33	 	2	0.12	 	0	0	 	1	0.06	 	56	3.41	 	0	0	 	1641	97.97	 	34	2.03	 	1675	2.12
Chapel Hill		                                	6	0.31	 	1	0.05	 	0	0	 	16	0.83	 	138	7.13	 	0	0	 	7	0.36	 	0	0	 	55	2.84	 	0	0	 	0	0	 	3	0.15	 	0	0	 	301	15.55	 	1	0.05	 	411	21.23	 	911	47.06	 	7	0.36	 	0	0	 	4	0.21	 	74	3.82	 	1	0.05	 	1936	98.83	 	23	1.17	 	1959	2.48
Chapel Hill South		                          	9	0.46	 	0	0	 	2	0.1	 	9	0.46	 	110	5.6	 	0	0	 	23	1.17	 	0	0	 	93	4.73	 	0	0	 	1	0.05	 	3	0.15	 	1	0.05	 	364	18.51	 	2	0.1	 	423	21.52	 	857	43.59	 	5	0.25	 	1	0.05	 	3	0.15	 	58	2.95	 	2	0.1	 	1966	97.13	 	58	2.87	 	2024	2.56
Corinda (Ryan)		                             	9	0.49	 	1	0.05	 	0	0	 	7	0.38	 	83	4.51	 	3	0.16	 	27	1.47	 	4	0.22	 	127	6.9	 	2	0.11	 	4	0.22	 	1	0.05	 	2	0.11	 	307	16.68	 	6	0.33	 	543	29.51	 	654	35.54	 	4	0.22	 	0	0	 	1	0.05	 	54	2.93	 	1	0.05	 	1840	97.1	 	55	2.9	 	1895	2.4
Corinda South		                              	2	0.16	 	0	0	 	1	0.08	 	11	0.88	 	52	4.14	 	2	0.16	 	36	2.86	 	1	0.08	 	85	6.76	 	1	0.08	 	3	0.24	 	0	0	 	3	0.24	 	197	15.67	 	1	0.08	 	426	33.89	 	403	32.06	 	3	0.24	 	0	0	 	1	0.08	 	29	2.31	 	0	0	 	1257	96.92	 	40	3.08	 	1297	1.64
Darra		                                      	17	1.01	 	0	0	 	1	0.06	 	33	1.95	 	16	0.95	 	2	0.12	 	17	1.01	 	4	0.24	 	185	10.96	 	1	0.06	 	1	0.06	 	2	0.12	 	3	0.18	 	111	6.58	 	3	0.18	 	1005	59.54	 	265	15.7	 	2	0.12	 	0	0	 	3	0.18	 	17	1.01	 	0	0	 	1688	94.62	 	96	5.38	 	1784	2.26
Fig Tree Pocket		                            	3	0.18	 	0	0	 	1	0.06	 	6	0.36	 	96	5.68	 	0	0	 	12	0.71	 	0	0	 	102	6.04	 	2	0.12	 	1	0.06	 	1	0.06	 	2	0.12	 	248	14.68	 	4	0.24	 	256	15.16	 	884	52.34	 	3	0.18	 	0	0	 	2	0.12	 	65	3.85	 	1	0.06	 	1689	98.14	 	32	1.86	 	1721	2.18
Indooroopilly		                              	2	0.12	 	1	0.06	 	1	0.06	 	23	1.41	 	92	5.63	 	1	0.06	 	19	1.16	 	0	0	 	85	5.2	 	0	0	 	3	0.18	 	0	0	 	1	0.06	 	305	18.67	 	2	0.12	 	439	26.87	 	568	34.76	 	7	0.43	 	0	0	 	4	0.24	 	80	4.9	 	1	0.06	 	1634	97.73	 	38	2.27	 	1672	2.11
Indooroopilly East		                         	1	0.05	 	0	0	 	0	0	 	5	0.26	 	102	5.25	 	2	0.1	 	11	0.57	 	1	0.05	 	71	3.65	 	0	0	 	1	0.05	 	1	0.05	 	2	0.1	 	314	16.15	 	3	0.15	 	395	20.32	 	942	48.46	 	8	0.41	 	0	0	 	2	0.1	 	83	4.27	 	0	0	 	1944	97.98	 	40	2.02	 	1984	2.51
Indooroopilly West		                         	3	0.12	 	0	0	 	2	0.08	 	23	0.92	 	107	4.28	 	1	0.04	 	35	1.4	 	0	0	 	107	4.28	 	0	0	 	5	0.2	 	1	0.04	 	2	0.08	 	395	15.81	 	2	0.08	 	561	22.45	 	1152	46.1	 	8	0.32	 	0	0	 	6	0.24	 	88	3.52	 	1	0.04	 	2499	98.39	 	41	1.61	 	2540	3.21
Ironside		                                   	3	0.12	 	1	0.04	 	0	0	 	23	0.89	 	162	6.27	 	1	0.04	 	6	0.23	 	0	0	 	77	2.98	 	0	0	 	1	0.04	 	3	0.12	 	0	0	 	474	18.34	 	1	0.04	 	533	20.62	 	1154	44.64	 	10	0.39	 	2	0.08	 	11	0.43	 	121	4.68	 	2	0.08	 	2585	98.25	 	46	1.75	 	2631	3.33
Jamboree Heights		                           	16	0.36	 	0	0	 	0	0	 	32	0.72	 	198	4.46	 	4	0.09	 	39	0.88	 	1	0.02	 	224	5.04	 	0	0	 	6	0.14	 	2	0.05	 	6	0.14	 	556	12.51	 	3	0.07	 	1366	30.74	 	1878	42.27	 	10	0.23	 	0	0	 	4	0.09	 	96	2.16	 	2	0.05	 	4443	97.22	 	127	2.78	 	4570	5.78
Jindalee		                                   	11	0.32	 	1	0.03	 	1	0.03	 	21	0.61	 	116	3.37	 	2	0.06	 	22	0.64	 	4	0.12	 	229	6.65	 	0	0	 	3	0.09	 	1	0.03	 	0	0	 	411	11.93	 	4	0.12	 	868	25.2	 	1639	47.59	 	9	0.26	 	1	0.03	 	10	0.29	 	90	2.61	 	1	0.03	 	3444	98.26	 	61	1.74	 	3505	4.43
Jindalee South		                             	2	0.16	 	1	0.08	 	1	0.08	 	6	0.49	 	49	3.96	 	3	0.24	 	10	0.81	 	0	0	 	79	6.39	 	0	0	 	3	0.24	 	0	0	 	0	0	 	128	10.35	 	2	0.16	 	315	25.46	 	613	49.56	 	3	0.24	 	0	0	 	2	0.16	 	20	1.62	 	0	0	 	1237	97.4	 	33	2.6	 	1270	1.61
Kenmore		                                    	8	0.26	 	1	0.03	 	1	0.03	 	26	0.84	 	137	4.43	 	5	0.16	 	17	0.55	 	1	0.03	 	139	4.49	 	2	0.06	 	8	0.26	 	4	0.13	 	1	0.03	 	435	14.05	 	4	0.13	 	659	21.29	 	1533	49.53	 	19	0.61	 	0	0	 	4	0.13	 	88	2.84	 	3	0.1	 	3095	97.82	 	69	2.18	 	3164	4
Kenmore South		                              	3	0.11	 	0	0	 	1	0.04	 	12	0.43	 	205	7.37	 	0	0	 	15	0.54	 	1	0.04	 	145	5.22	 	0	0	 	0	0	 	3	0.11	 	1	0.04	 	404	14.53	 	5	0.18	 	578	20.79	 	1324	47.63	 	8	0.29	 	0	0	 	6	0.22	 	67	2.41	 	2	0.07	 	2780	97.72	 	65	2.28	 	2845	3.6
Middle Park		                                	4	0.12	 	1	0.03	 	2	0.06	 	33	0.97	 	97	2.84	 	2	0.06	 	29	0.85	 	2	0.06	 	201	5.88	 	0	0	 	3	0.09	 	0	0	 	0	0	 	456	13.35	 	3	0.09	 	946	27.69	 	1541	45.11	 	10	0.29	 	0	0	 	5	0.15	 	79	2.31	 	2	0.06	 	3416	98.42	 	55	1.58	 	3471	4.39
Moggill		                                    	12	0.44	 	0	0	 	0	0	 	17	0.62	 	176	6.45	 	4	0.15	 	30	1.1	 	0	0	 	175	6.41	 	0	0	 	3	0.11	 	1	0.04	 	3	0.11	 	436	15.98	 	1	0.04	 	543	19.9	 	1222	44.79	 	7	0.26	 	2	0.07	 	2	0.07	 	94	3.45	 	0	0	 	2728	97.92	 	58	2.08	 	2786	3.52
Oxley		                                      	3	0.32	 	0	0	 	0	0	 	3	0.32	 	38	4.1	 	0	0	 	10	1.08	 	1	0.11	 	81	8.75	 	0	0	 	1	0.11	 	1	0.11	 	0	0	 	113	12.2	 	2	0.22	 	377	40.71	 	277	29.91	 	1	0.11	 	0	0	 	4	0.43	 	14	1.51	 	0	0	 	926	97.17	 	27	2.83	 	953	1.21
Oxley South		                                	13	0.9	 	0	0	 	0	0	 	5	0.35	 	24	1.66	 	7	0.49	 	9	0.62	 	0	0	 	188	13.03	 	0	0	 	6	0.42	 	2	0.14	 	1	0.07	 	167	11.57	 	1	0.07	 	599	41.51	 	388	26.89	 	4	0.28	 	0	0	 	4	0.28	 	25	1.73	 	0	0	 	1443	96.2	 	57	3.8	 	1500	1.9
Pinjarra Hills		                             	1	0.44	 	0	0	 	1	0.44	 	0	0	 	27	11.79	 	0	0	 	3	1.31	 	0	0	 	13	5.68	 	0	0	 	1	0.44	 	0	0	 	0	0	 	26	11.35	 	0	0	 	47	20.52	 	108	47.16	 	0	0	 	0	0	 	0	0	 	2	0.87	 	0	0	 	229	98.28	 	4	1.72	 	233	0.29
Pullenvale		                                 	0	0	 	1	0.12	 	0	0	 	7	0.84	 	86	10.32	 	2	0.24	 	5	0.6	 	0	0	 	46	5.52	 	0	0	 	1	0.12	 	0	0	 	1	0.12	 	109	13.09	 	0	0	 	142	17.05	 	406	48.74	 	3	0.36	 	0	0	 	2	0.24	 	22	2.64	 	0	0	 	833	98.93	 	9	1.07	 	842	1.06
St Lucia		                                   	3	0.17	 	2	0.11	 	0	0	 	13	0.72	 	90	4.97	 	1	0.06	 	10	0.55	 	0	0	 	67	3.7	 	1	0.06	 	3	0.17	 	0	0	 	1	0.06	 	350	19.33	 	1	0.06	 	427	23.58	 	762	42.08	 	4	0.22	 	2	0.11	 	7	0.39	 	66	3.64	 	1	0.06	 	1811	97.89	 	39	2.11	 	1850	2.34
Sinnamon Park		                              	1	0.09	 	0	0	 	0	0	 	7	0.61	 	71	6.17	 	1	0.09	 	9	0.78	 	1	0.09	 	83	7.22	 	0	0	 	1	0.09	 	0	0	 	0	0	 	119	10.35	 	0	0	 	346	30.09	 	488	42.43	 	1	0.09	 	0	0	 	3	0.26	 	19	1.65	 	0	0	 	1150	97.05	 	35	2.95	 	1185	1.5
Taringa		                                    	4	0.26	 	0	0	 	1	0.06	 	4	0.26	 	62	3.97	 	4	0.26	 	12	0.77	 	2	0.13	 	72	4.61	 	0	0	 	2	0.13	 	2	0.13	 	0	0	 	271	17.35	 	3	0.19	 	376	24.07	 	671	42.96	 	6	0.38	 	1	0.06	 	5	0.32	 	63	4.03	 	1	0.06	 	1562	97.14	 	46	2.86	 	1608	2.03
The Gap		                                    	5	0.15	 	0	0	 	0	0	 	16	0.48	 	79	2.35	 	12	0.36	 	14	0.42	 	0	0	 	183	5.44	 	1	0.03	 	6	0.18	 	3	0.09	 	2	0.06	 	520	15.47	 	4	0.12	 	901	26.81	 	1481	44.06	 	17	0.51	 	2	0.06	 	11	0.33	 	102	3.03	 	2	0.06	 	3361	98.27	 	59	1.73	 	3420	4.32
The Gap East		                               	5	0.17	 	0	0	 	0	0	 	18	0.6	 	133	4.46	 	5	0.17	 	15	0.5	 	1	0.03	 	141	4.73	 	1	0.03	 	3	0.1	 	1	0.03	 	5	0.17	 	554	18.57	 	1	0.03	 	787	26.37	 	1213	40.65	 	10	0.34	 	0	0	 	6	0.2	 	85	2.85	 	0	0	 	2984	98.22	 	54	1.78	 	3038	3.84
The Gap West		                               	3	0.15	 	1	0.05	 	1	0.05	 	7	0.35	 	85	4.27	 	3	0.15	 	17	0.85	 	1	0.05	 	103	5.17	 	1	0.05	 	2	0.1	 	0	0	 	1	0.05	 	262	13.15	 	1	0.05	 	486	24.4	 	954	47.89	 	8	0.4	 	0	0	 	7	0.35	 	48	2.41	 	1	0.05	 	1992	97.89	 	43	2.11	 	2035	2.57
Toowong (Ryan)		                             	5	0.21	 	0	0	 	0	0	 	17	0.72	 	105	4.46	 	3	0.13	 	21	0.89	 	0	0	 	90	3.82	 	0	0	 	1	0.04	 	0	0	 	2	0.08	 	427	18.15	 	7	0.3	 	602	25.58	 	966	41.05	 	9	0.38	 	0	0	 	8	0.34	 	88	3.74	 	2	0.08	 	2353	97.68	 	56	2.32	 	2409	3.05
Toowong West		                               	1	0.11	 	0	0	 	0	0	 	3	0.32	 	41	4.43	 	3	0.32	 	2	0.22	 	1	0.11	 	53	5.72	 	0	0	 	1	0.11	 	1	0.11	 	0	0	 	171	18.47	 	1	0.11	 	251	27.11	 	342	36.93	 	5	0.54	 	0	0	 	6	0.65	 	44	4.75	 	0	0	 	926	98.93	 	10	1.07	 	936	1.18
Upper Brookfield		                           	0	0	 	0	0	 	0	0	 	0	0	 	16	6.3	 	0	0	 	4	1.57	 	1	0.39	 	24	9.45	 	0	0	 	2	0.79	 	0	0	 	25	9.84	 	6	2.36	 	0	0	 	54	21.26	 	104	40.94	 	2	0.79	 	0	0	 	0	0	 	16	6.3	 	0	0	 	254	98.07	 	5	1.93	 	259	0.33
Special Hospitals		                          	2	0.27	 	0	0	 	0	0	 	4	0.54	 	23	3.13	 	1	0.14	 	3	0.41	 	0	0	 	23	3.13	 	0	0	 	1	0.14	 	1	0.14	 	0	0	 	23	3.13	 	1	0.14	 	204	27.72	 	446	60.6	 	0	0	 	0	0	 	3	0.41	 	1	0.14	 	0	0	 	736	95.09	 	38	4.91	 	774	0.98
Total Ordinary		                             	162	0.26	 	12	0.02	 	17	0.03	 	424	0.67	 	2888	4.59	 	75	0.12	 	504	0.8	 	28	0.04	 	3432	5.45	 	12	0.02	 	78	0.12	 	38	0.06	 	65	0.1	 	9302	14.77	 	71	0.11	 	16256	25.81	 	27340	43.42	 	203	0.32	 	12	0.02	 	144	0.23	 	1884	2.99	 	26	0.04	 	62973	97.73	 	1465	2.27	 	64438	81.48
ABSENT		                                     	12	0.19	 	4	0.06	 	1	0.02	 	47	0.73	 	232	3.62	 	9	0.14	 	79	1.23	 	6	0.09	 	342	5.34	 	1	0.02	 	10	0.16	 	11	0.17	 	4	0.06	 	865	13.51	 	4	0.06	 	1584	24.75	 	2823	44.1	 	37	0.58	 	5	0.08	 	26	0.41	 	297	4.64	 	2	0.03	 	6401	98.78	 	79	1.22	 	6480	8.19
POSTAL		                                     	6	0.21	 	0	0	 	0	0	 	29	1.02	 	92	3.25	 	4	0.14	 	32	1.13	 	0	0	 	168	5.93	 	0	0	 	3	0.11	 	0	0	 	1	0.04	 	282	9.95	 	5	0.18	 	715	25.24	 	1381	48.75	 	13	0.46	 	0	0	 	3	0.11	 	96	3.39	 	3	0.11	 	2833	98.81	 	34	1.19	 	2867	3.63
PRE_POLL		                                   	9	0.18	 	1	0.02	 	1	0.02	 	62	1.24	 	131	2.63	 	9	0.18	 	37	0.74	 	1	0.02	 	217	4.35	 	1	0.02	 	4	0.08	 	6	0.12	 	5	0.1	 	680	13.64	 	3	0.06	 	1311	26.3	 	2298	46.11	 	24	0.48	 	1	0.02	 	6	0.12	 	176	3.53	 	1	0.02	 	4984	99.28	 	36	0.72	 	5020	6.35
PROVISIONAL		                                	1	0.36	 	0	0	 	0	0	 	1	0.36	 	12	4.35	 	0	0	 	0	0	 	0	0	 	14	5.07	 	0	0	 	0	0	 	1	0.36	 	0	0	 	33	11.96	 	0	0	 	85	30.8	 	102	36.96	 	1	0.36	 	0	0	 	1	0.36	 	25	9.06	 	0	0	 	276	98.22	 	5	1.78	 	281	0.36
Division Summary		                           	190	0.25	 	17	0.02	 	19	0.02	 	563	0.73	 	3355	4.33	 	97	0.13	 	652	0.84	 	35	0.05	 	4173	5.39	 	14	0.02	 	95	0.12	 	56	0.07	 	75	0.1	 	11162	14.41	 	83	0.11	 	19951	25.75	 	33944	43.82	 	278	0.36	 	18	0.02	 	180	0.23	 	2478	3.2	 	32	0.04	 	77467	97.95	 	1619	2.05	 	79086	94.76


Wide Bay (78007)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abercorn		                                   	0	0	 	0	0	 	0	0	 	0	0	 	31	60.78	 	0	0	 	0	0	 	0	0	 	13	25.49	 	0	0	 	1	1.96	 	0	0	 	0	0	 	2	3.92	 	0	0	 	1	1.96	 	1	1.96	 	2	3.92	 	0	0	 	0	0	 	0	0	 	0	0	 	51	92.73	 	4	7.27	 	55	0.07
