Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Runcorn (Moreton)		                          	16	1.26	 	85	6.68	 	524	41.19	 	7	0.55	 	1	0.08	 	35	2.75	 	477	37.5	 	2	0.16	 	1	0.08	 	4	0.31	 	117	9.2	 	3	0.24	 	1272	97.77	 	29	2.23	 	1301	1.69
Salisbury		                                  	56	1.66	 	124	3.67	 	1032	30.57	 	18	0.53	 	3	0.09	 	94	2.78	 	1678	49.7	 	6	0.18	 	7	0.21	 	4	0.12	 	353	10.46	 	1	0.03	 	3376	97.49	 	87	2.51	 	3463	4.51
Seville Road		                               	19	1.28	 	49	3.29	 	389	26.14	 	8	0.54	 	1	0.07	 	60	4.03	 	854	57.39	 	0	0	 	7	0.47	 	3	0.2	 	98	6.59	 	0	0	 	1488	98.02	 	30	1.98	 	1518	1.98
Sherwood		                                   	21	1.05	 	95	4.76	 	884	44.31	 	23	1.15	 	2	0.1	 	101	5.06	 	697	34.94	 	2	0.1	 	7	0.35	 	3	0.15	 	159	7.97	 	1	0.05	 	1995	97.41	 	53	2.59	 	2048	2.67
Sunnybank (Moreton)		                        	20	0.91	 	133	6.07	 	967	44.11	 	10	0.46	 	3	0.14	 	77	3.51	 	761	34.72	 	10	0.46	 	7	0.32	 	1	0.05	 	201	9.17	 	2	0.09	 	2192	98.38	 	36	1.62	 	2228	2.9
Tarragindi		                                 	11	0.86	 	49	3.83	 	500	39.03	 	5	0.39	 	1	0.08	 	69	5.39	 	533	41.61	 	0	0	 	4	0.31	 	4	0.31	 	104	8.12	 	1	0.08	 	1281	98.16	 	24	1.84	 	1305	1.7
Tarragindi East		                            	12	0.72	 	84	5.05	 	692	41.59	 	10	0.6	 	2	0.12	 	73	4.39	 	668	40.14	 	0	0	 	5	0.3	 	5	0.3	 	112	6.73	 	1	0.06	 	1664	98.29	 	29	1.71	 	1693	2.2
Tennyson		                                   	5	1.7	 	13	4.42	 	108	36.73	 	0	0	 	0	0	 	12	4.08	 	134	45.58	 	1	0.34	 	1	0.34	 	2	0.68	 	16	5.44	 	2	0.68	 	294	96.08	 	12	3.92	 	306	0.4
Thompson Estate South		                      	1	0.22	 	24	5.22	 	134	29.13	 	5	1.09	 	1	0.22	 	18	3.91	 	232	50.43	 	2	0.43	 	0	0	 	0	0	 	43	9.35	 	0	0	 	460	96.44	 	17	3.56	 	477	0.62
Upper Mt Gravatt (Moreton)		                 	6	0.6	 	34	3.42	 	444	44.71	 	8	0.81	 	2	0.2	 	35	3.52	 	377	37.97	 	0	0	 	3	0.3	 	2	0.2	 	79	7.96	 	3	0.3	 	993	97.64	 	24	2.36	 	1017	1.32
Wellers Hill		                               	20	0.69	 	116	3.98	 	1316	45.18	 	9	0.31	 	1	0.03	 	127	4.36	 	1039	35.67	 	1	0.03	 	7	0.24	 	7	0.24	 	269	9.23	 	1	0.03	 	2913	98.15	 	55	1.85	 	2968	3.87
Yeronga		                                    	20	1.01	 	58	2.91	 	702	35.28	 	6	0.3	 	1	0.05	 	103	5.18	 	876	44.02	 	0	0	 	14	0.7	 	10	0.5	 	197	9.9	 	3	0.15	 	1990	97.98	 	41	2.02	 	2031	2.64
Yeronga West		                               	20	1.03	 	101	5.19	 	848	43.6	 	6	0.31	 	3	0.15	 	83	4.27	 	712	36.61	 	0	0	 	4	0.21	 	5	0.26	 	163	8.38	 	0	0	 	1945	98.43	 	31	1.57	 	1976	2.57
Special Hospitals		                          	6	1.29	 	24	5.17	 	247	53.23	 	2	0.43	 	1	0.22	 	3	0.65	 	170	36.64	 	1	0.22	 	1	0.22	 	0	0	 	9	1.94	 	0	0	 	464	96.27	 	18	3.73	 	482	0.63
Total Ordinary		                             	675	1.06	 	2942	4.63	 	24579	38.71	 	360	0.57	 	70	0.11	 	2557	4.03	 	26621	41.93	 	56	0.09	 	230	0.36	 	113	0.18	 	5222	8.23	 	63	0.1	 	63488	97.76	 	1454	2.24	 	64942	84.57
ABSENT		                                     	101	1.7	 	323	5.42	 	2068	34.73	 	43	0.72	 	11	0.18	 	319	5.36	 	2496	41.92	 	1	0.02	 	24	0.4	 	26	0.44	 	528	8.87	 	14	0.24	 	5954	98.81	 	72	1.19	 	6026	7.85
POSTAL		                                     	18	0.58	 	178	5.78	 	1242	40.35	 	12	0.39	 	2	0.06	 	50	1.62	 	1405	45.65	 	0	0	 	8	0.26	 	3	0.1	 	157	5.1	 	3	0.1	 	3078	98.75	 	39	1.25	 	3117	4.06
PRE_POLL		                                   	19	0.76	 	99	3.98	 	1060	42.62	 	19	0.76	 	2	0.08	 	112	4.5	 	974	39.16	 	1	0.04	 	10	0.4	 	4	0.16	 	182	7.32	 	5	0.2	 	2487	97.95	 	52	2.05	 	2539	3.31
PROVISIONAL		                                	6	3.9	 	2	1.3	 	48	31.17	 	0	0	 	1	0.65	 	10	6.49	 	73	47.4	 	0	0	 	0	0	 	1	0.65	 	13	8.44	 	0	0	 	154	95.65	 	7	4.35	 	161	0.21
ADJUSTMENT		                                 	0		       	0		       	1		       	0		       	0		       	1		       	2		       	0		       	0		       	0		       	0		       	0		       	4		       	0		       	4	
Division Summary		                           	819	1.09	 	3544	4.71	 	28998	38.58	 	434	0.58	 	86	0.11	 	3049	4.06	 	31571	42	 	58	0.08	 	272	0.36	 	147	0.2	 	6102	8.12	 	85	0.11	 	75165	97.89	 	1624	2.11	 	76789	96.05
 																																														


Oxley (78236)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Amberley		                                   	103	10.23	 	92	9.14	 	372	36.94	 	5	0.5	 	3	0.3	 	32	3.18	 	319	31.68	 	3	0.3	 	3	0.3	 	2	0.2	 	71	7.05	 	2	0.2	 	1007	98.73	 	13	1.27	 	1020	1.36
Blackstone		                                 	17	2.97	 	11	1.92	 	127	22.2	 	7	1.22	 	1	0.17	 	17	2.97	 	342	59.79	 	0	0	 	1	0.17	 	2	0.35	 	46	8.04	 	1	0.17	 	572	97.28	 	16	2.72	 	588	0.78
Blair School		                               	56	2.87	 	83	4.26	 	489	25.08	 	11	0.56	 	5	0.26	 	81	4.15	 	1009	51.74	 	4	0.21	 	11	0.56	 	3	0.15	 	196	10.05	 	2	0.1	 	1950	98.24	 	35	1.76	 	1985	2.64
Blenheim		                                   	11	4.72	 	79	33.91	 	63	27.04	 	0	0	 	0	0	 	4	1.72	 	57	24.46	 	0	0	 	1	0.43	 	1	0.43	 	17	7.3	 	0	0	 	233	98.31	 	4	1.69	 	237	0.32
Booval		                                     	19	2.17	 	30	3.42	 	219	24.97	 	6	0.68	 	2	0.23	 	12	1.37	 	513	58.49	 	2	0.23	 	4	0.46	 	1	0.11	 	69	7.87	 	0	0	 	877	98.43	 	14	1.57	 	891	1.18
Brassall		                                   	35	3.33	 	62	5.9	 	352	33.49	 	17	1.62	 	1	0.1	 	27	2.57	 	464	44.15	 	0	0	 	6	0.57	 	0	0	 	87	8.28	 	0	0	 	1051	97.77	 	24	2.23	 	1075	1.43
Brassall School		                            	80	3.34	 	98	4.09	 	691	28.86	 	15	0.63	 	4	0.17	 	76	3.17	 	1190	49.71	 	4	0.17	 	14	0.58	 	2	0.08	 	218	9.11	 	2	0.08	 	2394	97.71	 	56	2.29	 	2450	3.26
Brisbane City (Oxley)		                      	3	2.88	 	5	4.81	 	27	25.96	 	0	0	 	0	0	 	10	9.62	 	44	42.31	 	0	0	 	0	0	 	0	0	 	15	14.42	 	0	0	 	104	97.2	 	3	2.8	 	107	0.14
Bundamba		                                   	40	2.72	 	46	3.13	 	396	26.98	 	9	0.61	 	1	0.07	 	37	2.52	 	758	51.63	 	1	0.07	 	8	0.54	 	2	0.14	 	170	11.58	 	0	0	 	1468	97.8	 	33	2.2	 	1501	2
Bundamba School		                            	79	3.34	 	88	3.72	 	509	21.53	 	15	0.63	 	3	0.13	 	88	3.72	 	1383	58.5	 	0	0	 	4	0.17	 	3	0.13	 	192	8.12	 	0	0	 	2364	97.32	 	65	2.68	 	2429	3.23
Camira		                                     	68	2.1	 	91	2.82	 	939	29.06	 	23	0.71	 	5	0.15	 	134	4.15	 	1636	50.63	 	1	0.03	 	6	0.19	 	6	0.19	 	318	9.84	 	4	0.12	 	3231	98.06	 	64	1.94	 	3295	4.38
Carole Park		                                	18	1.63	 	47	4.27	 	196	17.8	 	7	0.64	 	6	0.54	 	40	3.63	 	711	64.58	 	0	0	 	6	0.54	 	2	0.18	 	68	6.18	 	0	0	 	1101	98.04	 	22	1.96	 	1123	1.49
Central School		                             	46	3.25	 	59	4.17	 	514	36.35	 	13	0.92	 	1	0.07	 	29	2.05	 	618	43.71	 	0	0	 	7	0.5	 	3	0.21	 	124	8.77	 	0	0	 	1414	97.38	 	38	2.62	 	1452	1.93
Churchill		                                  	73	3.08	 	166	7.01	 	691	29.18	 	9	0.38	 	11	0.46	 	68	2.87	 	1137	48.02	 	1	0.04	 	6	0.25	 	5	0.21	 	195	8.23	 	6	0.25	 	2368	97.77	 	54	2.23	 	2422	3.22
Collingwood Park		                           	19	1.78	 	29	2.72	 	333	31.21	 	8	0.75	 	2	0.19	 	41	3.84	 	532	49.86	 	2	0.19	 	3	0.28	 	1	0.09	 	97	9.09	 	0	0	 	1067	97.98	 	22	2.02	 	1089	1.45
Dinmore		                                    	13	2.3	 	13	2.3	 	114	20.21	 	2	0.35	 	2	0.35	 	13	2.3	 	343	60.82	 	3	0.53	 	7	1.24	 	0	0	 	54	9.57	 	0	0	 	564	97.92	 	12	2.08	 	576	0.77
Eastern Heights		                            	24	1.99	 	67	5.56	 	447	37.13	 	5	0.42	 	1	0.08	 	26	2.16	 	503	41.78	 	4	0.33	 	5	0.42	 	1	0.08	 	120	9.97	 	1	0.08	 	1204	98.93	 	13	1.07	 	1217	1.62
East Ipswich School		                        	38	2.29	 	57	3.44	 	358	21.58	 	15	0.9	 	2	0.12	 	58	3.5	 	917	55.27	 	1	0.06	 	16	0.96	 	3	0.18	 	194	11.69	 	0	0	 	1659	98.11	 	32	1.89	 	1691	2.25
Ebbw Vale		                                  	5	1.62	 	5	1.62	 	62	20.06	 	2	0.65	 	0	0	 	4	1.29	 	194	62.78	 	0	0	 	3	0.97	 	0	0	 	34	11	 	0	0	 	309	96.87	 	10	3.13	 	319	0.42
Flinders View		                              	40	2.74	 	120	8.23	 	417	28.6	 	10	0.69	 	6	0.41	 	31	2.13	 	697	47.81	 	0	0	 	8	0.55	 	4	0.27	 	124	8.5	 	1	0.07	 	1458	97.66	 	35	2.34	 	1493	1.98
Forest Hill		                                	84	15.53	 	142	26.25	 	140	25.88	 	2	0.37	 	0	0	 	12	2.22	 	132	24.4	 	1	0.18	 	0	0	 	1	0.18	 	27	4.99	 	0	0	 	541	97.65	 	13	2.35	 	554	0.74
Gailes		                                     	25	2.59	 	34	3.53	 	201	20.85	 	3	0.31	 	3	0.31	 	29	3.01	 	582	60.37	 	2	0.21	 	2	0.21	 	0	0	 	83	8.61	 	0	0	 	964	96.21	 	38	3.79	 	1002	1.33
Glenore Grove		                              	94	11.34	 	140	16.89	 	199	24	 	1	0.12	 	1	0.12	 	20	2.41	 	303	36.55	 	0	0	 	3	0.36	 	3	0.36	 	65	7.84	 	0	0	 	829	98.57	 	12	1.43	 	841	1.12
Goodna		                                     	109	3.3	 	85	2.57	 	693	20.96	 	22	0.67	 	6	0.18	 	123	3.72	 	2007	60.69	 	1	0.03	 	14	0.42	 	4	0.12	 	243	7.35	 	0	0	 	3307	96.13	 	133	3.87	 	3440	4.57
Grandchester		                               	16	6.56	 	50	20.49	 	46	18.85	 	1	0.41	 	0	0	 	8	3.28	 	99	40.57	 	0	0	 	0	0	 	1	0.41	 	23	9.43	 	0	0	 	244	97.6	 	6	2.4	 	250	0.33
Harrisville		                                	5	1.58	 	117	37.03	 	65	20.57	 	1	0.32	 	1	0.32	 	7	2.22	 	89	28.16	 	0	0	 	2	0.63	 	1	0.32	 	28	8.86	 	0	0	 	316	98.14	 	6	1.86	 	322	0.43
Hatton Vale		                                	66	9.87	 	133	19.88	 	163	24.36	 	2	0.3	 	1	0.15	 	19	2.84	 	237	35.43	 	2	0.3	 	2	0.3	 	1	0.15	 	42	6.28	 	1	0.15	 	669	98.67	 	9	1.33	 	678	0.9
Ipswich		                                    	25	3.12	 	52	6.49	 	219	27.34	 	2	0.25	 	3	0.37	 	26	3.25	 	408	50.94	 	3	0.37	 	4	0.5	 	0	0	 	58	7.24	 	1	0.12	 	801	96.62	 	28	3.38	 	829	1.1
Ipswich Hospital		                           	8	2.49	 	36	11.21	 	72	22.43	 	4	1.25	 	2	0.62	 	10	3.12	 	165	51.4	 	0	0	 	1	0.31	 	1	0.31	 	22	6.85	 	0	0	 	321	96.69	 	11	3.31	 	332	0.44
Karalee		                                    	55	2.95	 	76	4.08	 	693	37.2	 	18	0.97	 	0	0	 	87	4.67	 	747	40.1	 	0	0	 	12	0.64	 	0	0	 	174	9.34	 	1	0.05	 	1863	97.85	 	41	2.15	 	1904	2.53
Kentville		                                  	27	12.5	 	32	14.81	 	40	18.52	 	0	0	 	2	0.93	 	3	1.39	 	92	42.59	 	1	0.46	 	0	0	 	0	0	 	19	8.8	 	0	0	 	216	97.74	 	5	2.26	 	221	0.29
Kruger School		                              	121	3.19	 	108	2.84	 	952	25.06	 	33	0.87	 	8	0.21	 	145	3.82	 	1983	52.2	 	1	0.03	 	10	0.26	 	2	0.05	 	434	11.42	 	2	0.05	 	3799	97.91	 	81	2.09	 	3880	5.16
Laidley		                                    	142	7.3	 	377	19.39	 	540	27.78	 	19	0.98	 	2	0.1	 	41	2.11	 	691	35.55	 	1	0.05	 	4	0.21	 	9	0.46	 	118	6.07	 	0	0	 	1944	96.81	 	64	3.19	 	2008	2.67
Lake Clarendon		                             	31	14.98	 	73	35.27	 	45	21.74	 	1	0.48	 	0	0	 	2	0.97	 	51	24.64	 	0	0	 	0	0	 	0	0	 	4	1.93	 	0	0	 	207	97.18	 	6	2.82	 	213	0.28
Leichhardt		                                 	26	2.58	 	50	4.96	 	269	26.69	 	7	0.69	 	0	0	 	21	2.08	 	531	52.68	 	1	0.1	 	6	0.6	 	1	0.1	 	96	9.52	 	0	0	 	1008	96.18	 	40	3.82	 	1048	1.39
Leichhardt School		                          	51	2.76	 	91	4.92	 	494	26.73	 	16	0.87	 	1	0.05	 	48	2.6	 	968	52.38	 	0	0	 	6	0.32	 	3	0.16	 	168	9.09	 	2	0.11	 	1848	97.62	 	45	2.38	 	1893	2.52
Mutdapilly		                                 	5	2	 	119	47.6	 	46	18.4	 	0	0	 	0	0	 	5	2	 	59	23.6	 	0	0	 	1	0.4	 	0	0	 	14	5.6	 	1	0.4	 	250	96.53	 	9	3.47	 	259	0.34
Newtown Ipswich		                            	21	3.27	 	39	6.07	 	178	27.73	 	10	1.56	 	1	0.16	 	22	3.43	 	295	45.95	 	0	0	 	7	1.09	 	1	0.16	 	68	10.59	 	0	0	 	642	98.32	 	11	1.68	 	653	0.87
North Booval		                               	25	1.85	 	69	5.1	 	330	24.37	 	10	0.74	 	2	0.15	 	56	4.14	 	732	54.06	 	2	0.15	 	7	0.52	 	6	0.44	 	114	8.42	 	1	0.07	 	1354	98.62	 	19	1.38	 	1373	1.83
North Ipswich		                              	55	3.3	 	80	4.8	 	304	18.24	 	6	0.36	 	5	0.3	 	67	4.02	 	990	59.39	 	5	0.3	 	5	0.3	 	2	0.12	 	148	8.88	 	0	0	 	1667	97.2	 	48	2.8	 	1715	2.28
Peak Crossing		                              	39	7.24	 	183	33.95	 	101	18.74	 	5	0.93	 	3	0.56	 	10	1.86	 	157	29.13	 	0	0	 	0	0	 	2	0.37	 	39	7.24	 	0	0	 	539	97.47	 	14	2.53	 	553	0.74
Raceview School		                            	91	3.02	 	128	4.25	 	847	28.12	 	18	0.6	 	4	0.13	 	88	2.92	 	1510	50.13	 	2	0.07	 	19	0.63	 	4	0.13	 	299	9.93	 	2	0.07	 	3012	97.76	 	69	2.24	 	3081	4.1
Redbank		                                    	19	2.36	 	18	2.24	 	197	24.47	 	5	0.62	 	0	0	 	37	4.6	 	465	57.76	 	3	0.37	 	4	0.5	 	0	0	 	56	6.96	 	1	0.12	 	805	98.77	 	10	1.23	 	815	1.08
Redbank Plains		                             	92	4.45	 	47	2.27	 	487	23.54	 	32	1.55	 	4	0.19	 	70	3.38	 	1111	53.7	 	1	0.05	 	8	0.39	 	1	0.05	 	215	10.39	 	1	0.05	 	2069	98.29	 	36	1.71	 	2105	2.8
Riverview		                                  	60	4.62	 	38	2.93	 	214	16.49	 	8	0.62	 	1	0.08	 	60	4.62	 	824	63.48	 	1	0.08	 	8	0.62	 	1	0.08	 	83	6.39	 	0	0	 	1298	97.67	 	31	2.33	 	1329	1.77
Riverview Gardens		                          	16	4.23	 	16	4.23	 	79	20.9	 	15	3.97	 	0	0	 	10	2.65	 	213	56.35	 	1	0.26	 	2	0.53	 	1	0.26	 	25	6.61	 	0	0	 	378	97.67	 	9	2.33	 	387	0.51
Rosevale		                                   	6	4.51	 	98	73.68	 	13	9.77	 	0	0	 	0	0	 	1	0.75	 	10	7.52	 	0	0	 	0	0	 	0	0	 	5	3.76	 	0	0	 	133	96.38	 	5	3.62	 	138	0.18
Rosewood (Oxley)		                           	37	6.46	 	124	21.64	 	154	26.88	 	3	0.52	 	0	0	 	14	2.44	 	206	35.95	 	0	0	 	0	0	 	2	0.35	 	33	5.76	 	0	0	 	573	98.79	 	7	1.21	 	580	0.77
St Josephs		                                 	59	5.01	 	68	5.78	 	262	22.26	 	7	0.59	 	2	0.17	 	40	3.4	 	618	52.51	 	0	0	 	2	0.17	 	0	0	 	118	10.03	 	1	0.08	 	1177	98.49	 	18	1.51	 	1195	1.59
Silkstone		                                  	87	2.83	 	111	3.61	 	823	26.76	 	22	0.72	 	9	0.29	 	91	2.96	 	1583	51.48	 	2	0.07	 	22	0.72	 	4	0.13	 	320	10.41	 	1	0.03	 	3075	97.84	 	68	2.16	 	3143	4.18
Thornton		                                   	20	11.36	 	52	29.55	 	73	41.48	 	0	0	 	0	0	 	2	1.14	 	19	10.8	 	0	0	 	0	0	 	0	0	 	10	5.68	 	0	0	 	176	97.24	 	5	2.76	 	181	0.24
Tivoli		                                     	42	3.8	 	36	3.25	 	324	29.29	 	14	1.27	 	1	0.09	 	45	4.07	 	562	50.81	 	0	0	 	2	0.18	 	1	0.09	 	77	6.96	 	2	0.18	 	1106	96.43	 	41	3.57	 	1147	1.52
Wacol		                                      	5	3.7	 	2	1.48	 	29	21.48	 	0	0	 	0	0	 	5	3.7	 	75	55.56	 	1	0.74	 	1	0.74	 	0	0	 	17	12.59	 	0	0	 	135	97.12	 	4	2.88	 	139	0.18
Warrill View		                               	2	1.83	 	71	65.14	 	10	9.17	 	0	0	 	0	0	 	1	0.92	 	18	16.51	 	0	0	 	0	0	 	0	0	 	7	6.42	 	0	0	 	109	94.78	 	6	5.22	 	115	0.15
West Ipswich		                               	19	3.27	 	35	6.02	 	144	24.78	 	1	0.17	 	1	0.17	 	30	5.16	 	293	50.43	 	0	0	 	5	0.86	 	1	0.17	 	52	8.95	 	0	0	 	581	98.47	 	9	1.53	 	590	0.78
Special Hospitals		                          	11	2.94	 	62	16.58	 	113	30.21	 	2	0.53	 	1	0.27	 	3	0.8	 	169	45.19	 	0	0	 	3	0.8	 	1	0.27	 	9	2.41	 	0	0	 	374	96.39	 	14	3.61	 	388	0.52
Prison Mobiles		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	50	 	1	50	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	100	 	0	0	 	2	0
Total Ordinary		                             	2383	3.68	 	4240	6.55	 	16875	26.07	 	469	0.72	 	120	0.19	 	2087	3.22	 	32362	50	 	57	0.09	 	281	0.43	 	95	0.15	 	5722	8.84	 	36	0.06	 	64727	97.68	 	1536	2.32	 	66263	88.08
ABSENT		                                     	170	3.8	 	366	8.18	 	1200	26.8	 	39	0.87	 	7	0.16	 	210	4.69	 	2092	46.73	 	4	0.09	 	16	0.36	 	12	0.27	 	356	7.95	 	5	0.11	 	4477	98.55	 	66	1.45	 	4543	6.04
POSTAL		                                     	42	2	 	183	8.73	 	493	23.51	 	14	0.67	 	3	0.14	 	47	2.24	 	1203	57.37	 	2	0.1	 	6	0.29	 	0	0	 	103	4.91	 	1	0.05	 	2097	98.31	 	36	1.69	 	2133	2.84
PRE_POLL		                                   	49	2.38	 	165	8.01	 	639	31	 	28	1.36	 	6	0.29	 	67	3.25	 	951	46.14	 	3	0.15	 	9	0.44	 	2	0.1	 	140	6.79	 	2	0.1	 	2061	98.8	 	25	1.2	 	2086	2.77
PROVISIONAL		                                	21	10.5	 	10	5	 	38	19	 	2	1	 	1	0.5	 	12	6	 	105	52.5	 	0	0	 	1	0.5	 	1	0.5	 	9	4.5	 	0	0	 	200	98.52	 	3	1.48	 	203	0.27
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	2665	3.62	 	4964	6.75	 	19245	26.16	 	552	0.75	 	137	0.19	 	2423	3.29	 	36713	49.91	 	66	0.09	 	313	0.43	 	110	0.15	 	6330	8.6	 	44	0.06	 	73562	97.79	 	1666	2.21	 	75228	96.16
 																																														


Petrie (78565)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Albany Creek (Petrie)		                      	37	1.07	 	169	4.91	 	1462	42.44	 	32	0.93	 	2	0.06	 	86	2.5	 	1290	37.45	 	2	0.06	 	3	0.09	 	6	0.17	 	350	10.16	 	6	0.17	 	3445	98.32	 	59	1.68	 	3504	4.63
Albany Creek South		                         	33	1.82	 	77	4.24	 	866	47.63	 	14	0.77	 	0	0	 	62	3.41	 	604	33.22	 	0	0	 	3	0.17	 	0	0	 	157	8.64	 	2	0.11	 	1818	99.07	 	17	0.93	 	1835	2.43
Aspley (Petrie)		                            	8	1	 	50	6.24	 	457	57.05	 	2	0.25	 	2	0.25	 	19	2.37	 	208	25.97	 	2	0.25	 	1	0.12	 	0	0	 	51	6.37	 	1	0.12	 	801	98.16	 	15	1.84	 	816	1.08
Aspley West (Petrie)		                       	23	0.67	 	218	6.4	 	1950	57.22	 	16	0.47	 	0	0	 	46	1.35	 	917	26.91	 	3	0.09	 	3	0.09	 	4	0.12	 	225	6.6	 	3	0.09	 	3408	98.38	 	56	1.62	 	3464	4.58
Bald Hills		                                 	58	1.85	 	143	4.55	 	1065	33.91	 	25	0.8	 	1	0.03	 	94	2.99	 	1436	45.72	 	0	0	 	14	0.45	 	7	0.22	 	295	9.39	 	3	0.1	 	3141	97.97	 	65	2.03	 	3206	4.24
Ballycara		                                  	5	0.49	 	54	5.33	 	594	58.64	 	9	0.89	 	0	0	 	15	1.48	 	269	26.55	 	0	0	 	2	0.2	 	1	0.1	 	62	6.12	 	2	0.2	 	1013	98.45	 	16	1.55	 	1029	1.36
Bracken Ridge		                              	23	1.61	 	82	5.75	 	460	32.26	 	13	0.91	 	3	0.21	 	36	2.52	 	638	44.74	 	1	0.07	 	5	0.35	 	4	0.28	 	159	11.15	 	2	0.14	 	1426	98.01	 	29	1.99	 	1455	1.92
Bracken Ridge East		                         	43	1.39	 	153	4.94	 	1153	37.21	 	22	0.71	 	4	0.13	 	98	3.16	 	1349	43.53	 	1	0.03	 	7	0.23	 	6	0.19	 	260	8.39	 	3	0.1	 	3099	98.41	 	50	1.59	 	3149	4.16
Bracken Ridge West		                         	29	1.29	 	105	4.67	 	737	32.77	 	16	0.71	 	1	0.04	 	55	2.45	 	1054	46.87	 	1	0.04	 	8	0.36	 	4	0.18	 	236	10.49	 	3	0.13	 	2249	98.55	 	33	1.45	 	2282	3.02
Brisbane City (Petrie)		                     	4	2.13	 	11	5.85	 	58	30.85	 	1	0.53	 	0	0	 	9	4.79	 	87	46.28	 	0	0	 	2	1.06	 	0	0	 	16	8.51	 	0	0	 	188	98.95	 	2	1.05	 	190	0.25
Carseldine		                                 	16	0.76	 	110	5.26	 	1192	56.98	 	7	0.33	 	0	0	 	39	1.86	 	573	27.39	 	1	0.05	 	9	0.43	 	0	0	 	144	6.88	 	1	0.05	 	2092	98.63	 	29	1.37	 	2121	2.8
Chermside (Petrie)		                         	7	0.95	 	38	5.15	 	267	36.18	 	3	0.41	 	0	0	 	26	3.52	 	342	46.34	 	2	0.27	 	5	0.68	 	0	0	 	47	6.37	 	1	0.14	 	738	98.27	 	13	1.73	 	751	0.99
Chermside Garden Settlement		                	6	1.28	 	38	8.1	 	215	45.84	 	2	0.43	 	0	0	 	7	1.49	 	177	37.74	 	0	0	 	2	0.43	 	0	0	 	22	4.69	 	0	0	 	469	96.5	 	17	3.5	 	486	0.64
Chermside West		                             	24	0.8	 	174	5.82	 	1245	41.62	 	16	0.53	 	0	0	 	102	3.41	 	1103	36.88	 	1	0.03	 	8	0.27	 	3	0.1	 	313	10.46	 	2	0.07	 	2991	98.32	 	51	1.68	 	3042	4.02
Clontarf		                                   	33	1.24	 	100	3.75	 	872	32.66	 	15	0.56	 	7	0.26	 	83	3.11	 	1288	48.24	 	0	0	 	11	0.41	 	3	0.11	 	257	9.63	 	1	0.04	 	2670	98.09	 	52	1.91	 	2722	3.6
Clontarf Beach		                             	35	1.52	 	118	5.11	 	847	36.68	 	29	1.26	 	3	0.13	 	58	2.51	 	997	43.18	 	1	0.04	 	12	0.52	 	3	0.13	 	204	8.83	 	2	0.09	 	2309	98.05	 	46	1.95	 	2355	3.11
Craigslea		                                  	12	1.32	 	80	8.78	 	458	50.27	 	0	0	 	1	0.11	 	16	1.76	 	292	32.05	 	0	0	 	1	0.11	 	2	0.22	 	48	5.27	 	1	0.11	 	911	97.23	 	26	2.77	 	937	1.24
Deception Bay		                              	36	1.6	 	92	4.08	 	673	29.82	 	10	0.44	 	1	0.04	 	66	2.92	 	1164	51.57	 	0	0	 	4	0.18	 	5	0.22	 	202	8.95	 	4	0.18	 	2257	98.13	 	43	1.87	 	2300	3.04
Deception Bay North		                        	102	3.04	 	105	3.13	 	1052	31.36	 	20	0.6	 	10	0.3	 	64	1.91	 	1699	50.64	 	2	0.06	 	7	0.21	 	3	0.09	 	289	8.61	 	2	0.06	 	3355	97.9	 	72	2.1	 	3427	4.53
Deception Bay South		                        	19	2.16	 	37	4.2	 	251	28.49	 	3	0.34	 	1	0.11	 	21	2.38	 	468	53.12	 	0	0	 	3	0.34	 	0	0	 	78	8.85	 	0	0	 	881	98.11	 	17	1.89	 	898	1.19
