Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
West Wyalong Hospital		                      	0	0	 	0	0	 	0	0	 	0	0	 	1	1.06	 	0	0	 	2	2.13	 	0	0	 	65	69.15	 	0	0	 	4	4.26	 	14	14.89	 	0	0	 	1	1.06	 	6	6.38	 	0	0	 	0	0	 	0	0	 	1	1.06	 	0	0	 	0	0	 	0	0	 	94	98.95	 	1	1.05	 	95	0.13
Whitton		                                    	3	0.82	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.27	 	15	4.08	 	0	0	 	176	47.83	 	0	0	 	12	3.26	 	154	41.85	 	0	0	 	2	0.54	 	0	0	 	4	1.09	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.27	 	368	95.58	 	17	4.42	 	385	0.51
Willimbong		                                 	5	1.39	 	0	0	 	0	0	 	2	0.56	 	0	0	 	0	0	 	19	5.29	 	0	0	 	148	41.23	 	1	0.28	 	9	2.51	 	164	45.68	 	1	0.28	 	1	0.28	 	8	2.23	 	1	0.28	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	359	97.29	 	10	2.71	 	369	0.49
Wyalong		                                    	6	1.33	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.22	 	6	1.33	 	2	0.44	 	256	56.89	 	0	0	 	15	3.33	 	147	32.67	 	1	0.22	 	5	1.11	 	7	1.56	 	4	0.89	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	450	98.25	 	8	1.75	 	458	0.61
Yanco		                                      	18	2.58	 	0	0	 	0	0	 	0	0	 	3	0.43	 	1	0.14	 	21	3.01	 	1	0.14	 	305	43.7	 	0	0	 	35	5.01	 	291	41.69	 	0	0	 	9	1.29	 	9	1.29	 	3	0.43	 	1	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.14	 	698	93.82	 	46	6.18	 	744	0.99
Yenda		                                      	17	1.81	 	3	0.32	 	2	0.21	 	1	0.11	 	0	0	 	3	0.32	 	29	3.09	 	3	0.32	 	485	51.76	 	0	0	 	38	4.06	 	328	35.01	 	1	0.11	 	2	0.21	 	14	1.49	 	10	1.07	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.11	 	0	0	 	937	94.08	 	59	5.92	 	996	1.32
Yerong Creek		                               	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.39	 	6	2.32	 	0	0	 	187	72.2	 	0	0	 	5	1.93	 	54	20.85	 	0	0	 	0	0	 	6	2.32	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	259	98.85	 	3	1.15	 	262	0.35
Yoogali		                                    	12	2.05	 	1	0.17	 	0	0	 	1	0.17	 	0	0	 	0	0	 	15	2.56	 	1	0.17	 	317	54.1	 	1	0.17	 	12	2.05	 	208	35.49	 	0	0	 	7	1.19	 	8	1.37	 	3	0.51	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	586	94.06	 	37	5.94	 	623	0.83
Special Hospitals		                          	1	0.25	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.5	 	0	0	 	263	66.08	 	0	0	 	8	2.01	 	120	30.15	 	0	0	 	1	0.25	 	3	0.75	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	398	98.03	 	8	1.97	 	406	0.54
Total Ordinary		                             	795	1.24	 	194	0.3	 	57	0.09	 	82	0.13	 	104	0.16	 	93	0.15	 	2369	3.7	 	62	0.1	 	32942	51.43	 	56	0.09	 	2281	3.56	 	22915	35.77	 	22	0.03	 	611	0.95	 	984	1.54	 	327	0.51	 	9	0.01	 	97	0.15	 	17	0.03	 	4	0.01	 	20	0.03	 	14	0.02	 	64055	96.99	 	1988	3.01	 	66043	87.74
ABSENT		                                     	43	1.13	 	17	0.45	 	7	0.18	 	8	0.21	 	11	0.29	 	2	0.05	 	100	2.63	 	2	0.05	 	1983	52.06	 	3	0.08	 	150	3.94	 	1296	34.02	 	1	0.03	 	88	2.31	 	59	1.55	 	31	0.81	 	0	0	 	6	0.16	 	0	0	 	0	0	 	1	0.03	 	1	0.03	 	3809	98.55	 	56	1.45	 	3865	5.13
POSTAL		                                     	13	0.59	 	1	0.05	 	0	0	 	3	0.14	 	8	0.36	 	1	0.05	 	55	2.49	 	0	0	 	1373	62.18	 	3	0.14	 	73	3.31	 	584	26.45	 	0	0	 	24	1.09	 	42	1.9	 	17	0.77	 	0	0	 	9	0.41	 	0	0	 	0	0	 	0	0	 	2	0.09	 	2208	99.37	 	14	0.63	 	2222	2.95
PRE_POLL		                                   	29	1.29	 	9	0.4	 	1	0.04	 	3	0.13	 	5	0.22	 	3	0.13	 	70	3.12	 	0	0	 	1180	52.61	 	4	0.18	 	115	5.13	 	717	31.97	 	1	0.04	 	42	1.87	 	46	2.05	 	9	0.4	 	1	0.04	 	6	0.27	 	0	0	 	1	0.04	 	0	0	 	1	0.04	 	2243	98.9	 	25	1.1	 	2268	3.01
PROVISIONAL		                                	19	2.2	 	5	0.58	 	0	0	 	1	0.12	 	3	0.35	 	0	0	 	40	4.64	 	1	0.12	 	373	43.27	 	1	0.12	 	32	3.71	 	361	41.88	 	1	0.12	 	14	1.62	 	5	0.58	 	5	0.58	 	0	0	 	1	0.12	 	0	0	 	0	0	 	0	0	 	0	0	 	862	96.96	 	27	3.04	 	889	1.18
ADJUSTMENT		                                 	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-3		       	-11		       	-14	
Division Summary		                           	898	1.23	 	226	0.31	 	65	0.09	 	97	0.13	 	131	0.18	 	99	0.14	 	2634	3.6	 	65	0.09	 	37850	51.73	 	67	0.09	 	2650	3.62	 	25873	35.36	 	25	0.03	 	779	1.06	 	1136	1.55	 	389	0.53	 	10	0.01	 	119	0.16	 	17	0.02	 	5	0.01	 	21	0.03	 	18	0.02	 	73174	97.21	 	2099	2.79	 	75273	96.48


Robertson (72618)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Avoca Beach		                                	16	0.93	 	8	0.46	 	0	0	 	0	0	 	7	0.41	 	0	0	 	13	0.75	 	0	0	 	715	41.43	 	1	0.06	 	137	7.94	 	704	40.79	 	0	0	 	46	2.67	 	65	3.77	 	9	0.52	 	0	0	 	3	0.17	 	1	0.06	 	0	0	 	0	0	 	1	0.06	 	1726	98.57	 	25	1.43	 	1751	2.5
Booker Bay		                                 	11	1.47	 	0	0	 	0	0	 	1	0.13	 	1	0.13	 	2	0.27	 	13	1.74	 	0	0	 	273	36.55	 	0	0	 	25	3.35	 	406	54.35	 	1	0.13	 	4	0.54	 	6	0.8	 	3	0.4	 	0	0	 	1	0.13	 	0	0	 	0	0	 	0	0	 	0	0	 	747	96.02	 	31	3.98	 	778	1.11
Copacabana		                                 	14	1.25	 	1	0.09	 	1	0.09	 	2	0.18	 	9	0.8	 	0	0	 	8	0.71	 	1	0.09	 	415	37.02	 	1	0.09	 	78	6.96	 	528	47.1	 	0	0	 	40	3.57	 	7	0.62	 	11	0.98	 	0	0	 	5	0.45	 	0	0	 	0	0	 	0	0	 	0	0	 	1121	98.25	 	20	1.75	 	1141	1.63
Davistown		                                  	22	2.11	 	2	0.19	 	1	0.1	 	1	0.1	 	6	0.58	 	1	0.1	 	21	2.02	 	0	0	 	350	33.59	 	1	0.1	 	66	6.33	 	542	52.02	 	0	0	 	15	1.44	 	2	0.19	 	5	0.48	 	0	0	 	5	0.48	 	0	0	 	2	0.19	 	0	0	 	0	0	 	1042	95.95	 	44	4.05	 	1086	1.55
Empire Bay		                                 	24	1.27	 	3	0.16	 	2	0.11	 	3	0.16	 	12	0.63	 	0	0	 	26	1.38	 	0	0	 	852	45.08	 	4	0.21	 	107	5.66	 	790	41.8	 	2	0.11	 	27	1.43	 	13	0.69	 	12	0.63	 	0	0	 	10	0.53	 	0	0	 	0	0	 	1	0.05	 	2	0.11	 	1890	97.37	 	51	2.63	 	1941	2.77
Erina		                                      	33	1.11	 	2	0.07	 	6	0.2	 	4	0.13	 	6	0.2	 	1	0.03	 	18	0.6	 	2	0.07	 	1266	42.43	 	2	0.07	 	183	6.13	 	1343	45.01	 	0	0	 	38	1.27	 	51	1.71	 	15	0.5	 	0	0	 	10	0.34	 	0	0	 	0	0	 	2	0.07	 	2	0.07	 	2984	97.23	 	85	2.77	 	3069	4.37
Erina Heights		                              	4	0.6	 	2	0.3	 	0	0	 	0	0	 	0	0	 	0	0	 	15	2.26	 	0	0	 	313	47.07	 	0	0	 	41	6.17	 	257	38.65	 	0	0	 	11	1.65	 	7	1.05	 	10	1.5	 	0	0	 	4	0.6	 	0	0	 	0	0	 	1	0.15	 	0	0	 	665	98.81	 	8	1.19	 	673	0.96
Ettalong		                                   	72	2.04	 	4	0.11	 	0	0	 	5	0.14	 	8	0.23	 	2	0.06	 	28	0.79	 	3	0.09	 	1175	33.3	 	4	0.11	 	164	4.65	 	1948	55.2	 	2	0.06	 	51	1.45	 	35	0.99	 	18	0.51	 	0	0	 	9	0.26	 	0	0	 	0	0	 	0	0	 	1	0.03	 	3529	97.27	 	99	2.73	 	3628	5.17
Ettalong South		                             	15	2.2	 	0	0	 	0	0	 	3	0.44	 	3	0.44	 	1	0.15	 	6	0.88	 	0	0	 	204	29.96	 	0	0	 	16	2.35	 	418	61.38	 	2	0.29	 	9	1.32	 	2	0.29	 	2	0.29	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	681	97.29	 	19	2.71	 	700	1
Ettalong West		                              	22	0.89	 	2	0.08	 	1	0.04	 	2	0.08	 	13	0.53	 	0	0	 	33	1.33	 	1	0.04	 	685	27.67	 	7	0.28	 	139	5.61	 	1469	59.33	 	1	0.04	 	51	2.06	 	28	1.13	 	10	0.4	 	0	0	 	11	0.44	 	0	0	 	0	0	 	0	0	 	1	0.04	 	2476	97.83	 	55	2.17	 	2531	3.61
Gosford		                                    	12	1.12	 	1	0.09	 	0	0	 	3	0.28	 	7	0.65	 	1	0.09	 	17	1.58	 	1	0.09	 	458	42.64	 	1	0.09	 	110	10.24	 	426	39.66	 	0	0	 	14	1.3	 	11	1.02	 	4	0.37	 	0	0	 	3	0.28	 	3	0.28	 	0	0	 	1	0.09	 	1	0.09	 	1074	97.46	 	28	2.54	 	1102	1.57
Gosford East		                               	34	1.11	 	3	0.1	 	0	0	 	5	0.16	 	9	0.29	 	3	0.1	 	29	0.95	 	1	0.03	 	1460	47.67	 	0	0	 	159	5.19	 	1239	40.45	 	1	0.03	 	34	1.11	 	54	1.76	 	19	0.62	 	0	0	 	12	0.39	 	1	0.03	 	0	0	 	0	0	 	0	0	 	3063	97.45	 	80	2.55	 	3143	4.48
Gosford Hospital		                           	2	0.59	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.88	 	0	0	 	120	35.4	 	0	0	 	15	4.42	 	188	55.46	 	1	0.29	 	7	2.06	 	0	0	 	1	0.29	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.29	 	1	0.29	 	339	98.83	 	4	1.17	 	343	0.49
Gosford North		                              	14	1.2	 	2	0.17	 	1	0.09	 	0	0	 	5	0.43	 	0	0	 	18	1.55	 	0	0	 	466	40.07	 	1	0.09	 	70	6.02	 	506	43.51	 	1	0.09	 	28	2.41	 	43	3.7	 	7	0.6	 	0	0	 	1	0.09	 	0	0	 	0	0	 	0	0	 	0	0	 	1163	98.48	 	18	1.52	 	1181	1.68
Gosford West		                               	13	1.25	 	2	0.19	 	3	0.29	 	2	0.19	 	5	0.48	 	0	0	 	9	0.87	 	0	0	 	472	45.38	 	2	0.19	 	48	4.62	 	445	42.79	 	0	0	 	6	0.58	 	14	1.35	 	9	0.87	 	1	0.1	 	6	0.58	 	2	0.19	 	0	0	 	1	0.1	 	0	0	 	1040	97.01	 	32	2.99	 	1072	1.53
Green Point		                                	6	0.56	 	2	0.19	 	2	0.19	 	3	0.28	 	4	0.38	 	1	0.09	 	16	1.5	 	0	0	 	504	47.37	 	0	0	 	62	5.83	 	376	35.34	 	0	0	 	10	0.94	 	64	6.02	 	7	0.66	 	0	0	 	7	0.66	 	0	0	 	0	0	 	0	0	 	0	0	 	1064	98.7	 	14	1.3	 	1078	1.54
Hardys Bay		                                 	8	2.17	 	0	0	 	0	0	 	1	0.27	 	1	0.27	 	0	0	 	6	1.63	 	1	0.27	 	156	42.39	 	1	0.27	 	26	7.07	 	153	41.58	 	0	0	 	8	2.17	 	6	1.63	 	1	0.27	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	368	96.84	 	12	3.16	 	380	0.54
Henry Kendall		                              	11	2.72	 	2	0.5	 	0	0	 	0	0	 	0	0	 	1	0.25	 	16	3.96	 	0	0	 	129	31.93	 	0	0	 	29	7.18	 	197	48.76	 	0	0	 	6	1.49	 	7	1.73	 	3	0.74	 	0	0	 	1	0.25	 	1	0.25	 	0	0	 	0	0	 	1	0.25	 	404	97.58	 	10	2.42	 	414	0.59
Kariong		                                    	21	0.95	 	2	0.09	 	1	0.05	 	5	0.23	 	26	1.18	 	1	0.05	 	42	1.91	 	0	0	 	953	43.34	 	0	0	 	109	4.96	 	944	42.93	 	6	0.27	 	36	1.64	 	33	1.5	 	14	0.64	 	0	0	 	6	0.27	 	0	0	 	0	0	 	0	0	 	0	0	 	2199	98.88	 	25	1.12	 	2224	3.17
Kincumber		                                  	31	0.85	 	3	0.08	 	4	0.11	 	2	0.05	 	10	0.27	 	6	0.16	 	29	0.79	 	0	0	 	1341	36.61	 	1	0.03	 	258	7.04	 	1804	49.25	 	0	0	 	77	2.1	 	71	1.94	 	18	0.49	 	0	0	 	7	0.19	 	1	0.03	 	0	0	 	0	0	 	0	0	 	3663	98.2	 	67	1.8	 	3730	5.32
Macmasters Beach		                           	6	1.4	 	1	0.23	 	1	0.23	 	1	0.23	 	1	0.23	 	1	0.23	 	3	0.7	 	0	0	 	182	42.33	 	2	0.47	 	36	8.37	 	166	38.6	 	0	0	 	8	1.86	 	19	4.42	 	1	0.23	 	0	0	 	0	0	 	1	0.23	 	0	0	 	1	0.23	 	0	0	 	430	98.62	 	6	1.38	 	436	0.62
Mangrove Mountain		                          	2	0.42	 	3	0.63	 	0	0	 	2	0.42	 	2	0.42	 	1	0.21	 	28	5.83	 	0	0	 	267	55.62	 	0	0	 	24	5	 	129	26.88	 	0	0	 	6	1.25	 	7	1.46	 	5	1.04	 	0	0	 	2	0.42	 	2	0.42	 	0	0	 	0	0	 	0	0	 	480	96.77	 	16	3.23	 	496	0.71
Mooney Mooney		                              	3	1.02	 	3	1.02	 	0	0	 	0	0	 	4	1.37	 	0	0	 	3	1.02	 	0	0	 	114	38.91	 	0	0	 	19	6.48	 	126	43	 	0	0	 	11	3.75	 	6	2.05	 	2	0.68	 	0	0	 	1	0.34	 	0	0	 	0	0	 	0	0	 	1	0.34	 	293	97.34	 	8	2.66	 	301	0.43
Mount White		                                	1	1.33	 	0	0	 	0	0	 	0	0	 	2	2.67	 	2	2.67	 	5	6.67	 	0	0	 	34	45.33	 	0	0	 	3	4	 	27	36	 	0	0	 	1	1.33	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	75	97.4	 	2	2.6	 	77	0.11
Narara South		                               	9	0.62	 	3	0.21	 	0	0	 	1	0.07	 	5	0.34	 	2	0.14	 	17	1.17	 	0	0	 	596	41.02	 	1	0.07	 	108	7.43	 	632	43.5	 	0	0	 	14	0.96	 	50	3.44	 	11	0.76	 	0	0	 	4	0.28	 	0	0	 	0	0	 	0	0	 	0	0	 	1453	98.24	 	26	1.76	 	1479	2.11
Ocean Beach		                                	52	1.44	 	6	0.17	 	0	0	 	5	0.14	 	15	0.41	 	4	0.11	 	37	1.02	 	0	0	 	1172	32.42	 	2	0.06	 	200	5.53	 	1982	54.83	 	0	0	 	76	2.1	 	25	0.69	 	24	0.66	 	0	0	 	12	0.33	 	3	0.08	 	0	0	 	0	0	 	0	0	 	3615	97.2	 	104	2.8	 	3719	5.3
Patonga		                                    	3	1.69	 	0	0	 	0	0	 	1	0.56	 	0	0	 	0	0	 	1	0.56	 	0	0	 	55	31.07	 	0	0	 	11	6.21	 	97	54.8	 	0	0	 	3	1.69	 	1	0.56	 	4	2.26	 	0	0	 	0	0	 	1	0.56	 	0	0	 	0	0	 	0	0	 	177	98.33	 	3	1.67	 	180	0.26
Pearl Beach		                                	7	1.83	 	1	0.26	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.26	 	0	0	 	159	41.51	 	0	0	 	29	7.57	 	175	45.69	 	0	0	 	7	1.83	 	2	0.52	 	1	0.26	 	0	0	 	1	0.26	 	0	0	 	0	0	 	0	0	 	0	0	 	383	98.71	 	5	1.29	 	388	0.55
Peats Ridge		                                	2	0.81	 	2	0.81	 	0	0	 	0	0	 	0	0	 	1	0.41	 	9	3.66	 	0	0	 	152	61.79	 	0	0	 	14	5.69	 	57	23.17	 	0	0	 	5	2.03	 	1	0.41	 	3	1.22	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	246	95.72	 	11	4.28	 	257	0.37
Phegans Bay		                                	0	0	 	0	0	 	0	0	 	0	0	 	1	0.55	 	0	0	 	5	2.76	 	0	0	 	60	33.15	 	0	0	 	20	11.05	 	88	48.62	 	0	0	 	4	2.21	 	2	1.1	 	0	0	 	0	0	 	0	0	 	1	0.55	 	0	0	 	0	0	 	0	0	 	181	98.91	 	2	1.09	 	183	0.26
Point Clare		                                	32	1.23	 	3	0.12	 	0	0	 	1	0.04	 	8	0.31	 	2	0.08	 	24	0.92	 	1	0.04	 	1084	41.72	 	5	0.19	 	183	7.04	 	1146	44.11	 	2	0.08	 	49	1.89	 	31	1.19	 	15	0.58	 	0	0	 	8	0.31	 	1	0.04	 	1	0.04	 	0	0	 	2	0.08	 	2598	97.6	 	64	2.4	 	2662	3.79
Pretty Beach		                               	14	2.15	 	0	0	 	0	0	 	2	0.31	 	0	0	 	1	0.15	 	6	0.92	 	0	0	 	231	35.54	 	0	0	 	35	5.38	 	320	49.23	 	0	0	 	25	3.85	 	7	1.08	 	5	0.77	 	0	0	 	2	0.31	 	2	0.31	 	0	0	 	0	0	 	0	0	 	650	97.45	 	17	2.55	 	667	0.95
Saratoga		                                   	15	0.84	 	4	0.22	 	1	0.06	 	3	0.17	 	3	0.17	 	0	0	 	22	1.24	 	0	0	 	748	42	 	0	0	 	125	7.02	 	788	44.24	 	0	0	 	20	1.12	 	38	2.13	 	8	0.45	 	0	0	 	3	0.17	 	1	0.06	 	0	0	 	1	0.06	 	1	0.06	 	1781	96.95	 	56	3.05	 	1837	2.62
Somersby		                                   	7	1.46	 	1	0.21	 	0	0	 	0	0	 	1	0.21	 	0	0	 	8	1.67	 	1	0.21	 	287	59.79	 	0	0	 	40	8.33	 	120	25	 	0	0	 	9	1.88	 	1	0.21	 	3	0.63	 	0	0	 	2	0.42	 	0	0	 	0	0	 	0	0	 	0	0	 	480	98.77	 	6	1.23	 	486	0.69
Spencer		                                    	3	1.78	 	0	0	 	0	0	 	0	0	 	2	1.18	 	2	1.18	 	6	3.55	 	0	0	 	58	34.32	 	0	0	 	13	7.69	 	75	44.38	 	1	0.59	 	3	1.78	 	0	0	 	4	2.37	 	0	0	 	2	1.18	 	0	0	 	0	0	 	0	0	 	0	0	 	169	97.13	 	5	2.87	 	174	0.25
Springfield		                                	20	1.42	 	1	0.07	 	1	0.07	 	1	0.07	 	9	0.64	 	0	0	 	34	2.41	 	1	0.07	 	440	31.18	 	5	0.35	 	91	6.45	 	743	52.66	 	0	0	 	10	0.71	 	42	2.98	 	10	0.71	 	0	0	 	1	0.07	 	0	0	 	0	0	 	0	0	 	2	0.14	 	1411	97.65	 	34	2.35	 	1445	2.06
Sydney (Robertson)		                         	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	22	28.21	 	0	0	 	3	3.85	 	42	53.85	 	0	0	 	10	12.82	 	1	1.28	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	78	96.3	 	3	3.7	 	81	0.12
Terrigal		                                   	19	0.86	 	0	0	 	1	0.05	 	0	0	 	6	0.27	 	1	0.05	 	12	0.54	 	0	0	 	1063	47.93	 	1	0.05	 	147	6.63	 	885	39.9	 	1	0.05	 	37	1.67	 	34	1.53	 	6	0.27	 	0	0	 	5	0.23	 	0	0	 	0	0	 	0	0	 	0	0	 	2218	98.1	 	43	1.9	 	2261	3.22
Terrigal Central		                           	6	0.64	 	2	0.21	 	0	0	 	1	0.11	 	2	0.21	 	0	0	 	5	0.53	 	0	0	 	497	52.76	 	1	0.11	 	76	8.07	 	301	31.95	 	0	0	 	19	2.02	 	27	2.87	 	4	0.42	 	0	0	 	1	0.11	 	0	0	 	0	0	 	0	0	 	0	0	 	942	98.64	 	13	1.36	 	955	1.36
Umina Central		                              	30	1.2	 	1	0.04	 	1	0.04	 	1	0.04	 	6	0.24	 	0	0	 	25	1	 	0	0	 	733	29.41	 	2	0.08	 	133	5.34	 	1467	58.87	 	1	0.04	 	47	1.89	 	26	1.04	 	5	0.2	 	0	0	 	5	0.2	 	8	0.32	 	0	0	 	0	0	 	1	0.04	 	2492	97.65	 	60	2.35	 	2552	3.64
Umina Mall		                                 	34	1.62	 	2	0.1	 	0	0	 	2	0.1	 	6	0.29	 	1	0.05	 	41	1.96	 	1	0.05	 	617	29.42	 	1	0.05	 	102	4.86	 	1205	57.46	 	0	0	 	30	1.43	 	28	1.34	 	12	0.57	 	1	0.05	 	10	0.48	 	0	0	 	2	0.1	 	0	0	 	2	0.1	 	2097	96.81	 	69	3.19	 	2166	3.09
Woy Woy		                                    	34	1.01	 	5	0.15	 	3	0.09	 	2	0.06	 	6	0.18	 	2	0.06	 	39	1.16	 	2	0.06	 	1096	32.49	 	3	0.09	 	195	5.78	 	1842	54.61	 	1	0.03	 	66	1.96	 	39	1.16	 	19	0.56	 	0	0	 	15	0.44	 	3	0.09	 	0	0	 	0	0	 	1	0.03	 	3373	96.84	 	110	3.16	 	3483	4.96
Woy Woy Bay		                                	1	0.61	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.21	 	0	0	 	69	41.82	 	0	0	 	18	10.91	 	73	44.24	 	0	0	 	1	0.61	 	1	0.61	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	165	98.21	 	3	1.79	 	168	0.24
Woy Woy South		                              	14	1.54	 	0	0	 	1	0.11	 	2	0.22	 	2	0.22	 	0	0	 	12	1.32	 	0	0	 	281	30.98	 	2	0.22	 	46	5.07	 	521	57.44	 	1	0.11	 	9	0.99	 	6	0.66	 	7	0.77	 	0	0	 	3	0.33	 	0	0	 	0	0	 	0	0	 	0	0	 	907	96.18	 	36	3.82	 	943	1.34
Special Hospitals		                          	10	1.19	 	1	0.12	 	0	0	 	1	0.12	 	1	0.12	 	0	0	 	0	0	 	1	0.12	 	454	54.11	 	0	0	 	35	4.17	 	317	37.78	 	0	0	 	1	0.12	 	9	1.07	 	0	0	 	0	0	 	9	1.07	 	0	0	 	0	0	 	0	0	 	0	0	 	839	96.44	 	31	3.56	 	870	1.24
Total Ordinary		                             	709	1.21	 	80	0.14	 	31	0.05	 	68	0.12	 	214	0.36	 	40	0.07	 	711	1.21	 	17	0.03	 	22778	38.76	 	51	0.09	 	3548	6.04	 	28007	47.65	 	24	0.04	 	989	1.68	 	922	1.57	 	327	0.56	 	2	0	 	187	0.32	 	32	0.05	 	5	0.01	 	9	0.02	 	20	0.03	 	58771	97.58	 	1460	2.42	 	60231	85.86
ABSENT		                                     	84	1.74	 	18	0.37	 	1	0.02	 	8	0.17	 	17	0.35	 	5	0.1	 	80	1.66	 	1	0.02	 	1744	36.09	 	5	0.1	 	261	5.4	 	2341	48.45	 	1	0.02	 	127	2.63	 	69	1.43	 	52	1.08	 	1	0.02	 	11	0.23	 	2	0.04	 	0	0	 	2	0.04	 	2	0.04	 	4832	98.69	 	64	1.31	 	4896	6.98
POSTAL		                                     	17	0.81	 	4	0.19	 	2	0.1	 	2	0.1	 	5	0.24	 	4	0.19	 	12	0.57	 	0	0	 	892	42.5	 	2	0.1	 	91	4.34	 	960	45.74	 	0	0	 	21	1	 	49	2.33	 	19	0.91	 	0	0	 	18	0.86	 	0	0	 	0	0	 	0	0	 	1	0.05	 	2099	98.82	 	25	1.18	 	2124	3.03
PRE_POLL		                                   	26	1.14	 	9	0.39	 	3	0.13	 	2	0.09	 	4	0.18	 	7	0.31	 	31	1.36	 	0	0	 	1044	45.69	 	1	0.04	 	105	4.6	 	936	40.96	 	0	0	 	42	1.84	 	45	1.97	 	15	0.66	 	1	0.04	 	12	0.53	 	0	0	 	0	0	 	0	0	 	2	0.09	 	2285	98.79	 	28	1.21	 	2313	3.3
PROVISIONAL		                                	12	2.13	 	2	0.35	 	0	0	 	0	0	 	2	0.35	 	1	0.18	 	8	1.42	 	0	0	 	177	31.38	 	1	0.18	 	32	5.67	 	297	52.66	 	21	3.72	 	3	0.53	 	5	0.89	 	3	0.53	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	564	98.6	 	8	1.4	 	572	0.82
ADJUSTMENT		                                 	1		       	0		       	0		       	0		       	0		       	0		       	2		       	0		       	5		       	0		       	2		       	5		       	-21		       	21		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	15		       	2		       	17	
Division Summary		                           	849	1.24	 	113	0.16	 	37	0.05	 	80	0.12	 	242	0.35	 	57	0.08	 	844	1.23	 	18	0.03	 	26640	38.85	 	60	0.09	 	4039	5.89	 	32546	47.47	 	25	0.04	 	1203	1.75	 	1090	1.59	 	416	0.61	 	4	0.01	 	228	0.33	 	34	0.05	 	5	0.01	 	11	0.02	 	25	0.04	 	68566	97.74	 	1587	2.26	 	70153	96.61


Shortland (73877)																																																																												

