House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
		TOTAL		80	67.23		1	0.84		1	0.84					15	12.61		2	1.68					14	11.76		1	0.84		5	4.20		119	
	FOURTH			1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		81	68.07		1	0.84		1	0.84					15	12.61		2	1.68					14	11.76					5	4.20		119	
	FIFTH			0	0.00		1	100.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		81	68.07		2	1.68								15	12.61		2	1.68					14	11.76					5	4.20		119	
	SIXTH			1	50.00			Excluded								0	0.00		1	50.00					0	0.00					0	0.00		2	
		TOTAL		82	68.91											15	12.61		3	2.52					14	11.76					5	4.20		119	
	SEVENTH			1	33.33											0	0.00			Excluded					2	66.67					0	0.00		3	
		TOTAL		83	69.75											15	12.61								16	13.45					5	4.20		119	
	EIGHTH			12	80.00												Excluded								3	20.00					0	0.00		15	
		TOTAL		95	79.83																				19	15.97					5	4.20		119	
	NINTH			12	63.16																					Excluded					7	36.84		19	
		TOTAL		107	89.92																										12	10.08		119	
				Elected																															
																																			
Wyalkatchem                                                    																																			
	FIRST			165	52.72		1	0.32		2	0.64		2	0.64		41	13.10		7	2.24		1	0.32		47	15.02		1	0.32		46	14.70		313	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		165	52.72		1	0.32		2	0.64		3	0.96		41	13.10		7	2.24					47	15.02		1	0.32		46	14.70		313	
	THIRD			0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00					1	33.33		0	0.00		0	0.00		3	
		TOTAL		165	52.72		2	0.64		3	0.96					41	13.10		7	2.24					48	15.34		1	0.32		46	14.70		313	
	FOURTH			0	0.00		1	100.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		165	52.72		3	0.96		3	0.96					41	13.10		7	2.24					48	15.34					46	14.70		313	
	FIFTH			0	0.00		0	0.00			Excluded					1	33.33		0	0.00					0	0.00					2	66.67		3	
		TOTAL		165	52.72		3	0.96								42	13.42		7	2.24					48	15.34					48	15.34		313	
	SIXTH			1	33.33			Excluded								0	0.00		1	33.33					1	33.33					0	0.00		3	
		TOTAL		166	53.04											42	13.42		8	2.56					49	15.65					48	15.34		313	
	SEVENTH			2	25.00											4	50.00			Excluded					0	0.00					2	25.00		8	
		TOTAL		168	53.67											46	14.70								49	15.65					50	15.97		313	
	EIGHTH			41	89.13												Excluded								4	8.70					1	2.17		46	
		TOTAL		209	66.77																				53	16.93					51	16.29		313	
	NINTH			35	66.04																					Excluded					18	33.96		53	
		TOTAL		244	77.96																										69	22.04		313	
				Elected																															
																																			
Yakamia                                                        																																			
	FIRST			675	41.93		70	4.35		34	2.11		6	0.37		53	3.29		97	6.02		33	2.05		203	12.61		32	1.99		407	25.28		1610	
	SECOND			5	15.15		1	3.03		0	0.00		1	3.03		4	12.12		10	30.30			Excluded		4	12.12		3	9.09		5	15.15		33	
		TOTAL		680	42.24		71	4.41		34	2.11		7	0.43		57	3.54		107	6.65					207	12.86		35	2.17		412	25.59		1610	
	THIRD			0	0.00		1	14.29		0	0.00			Excluded		1	14.29		2	28.57					1	14.29		1	14.29		1	14.29		7	
		TOTAL		680	42.24		72	4.47		34	2.11					58	3.60		109	6.77					208	12.92		36	2.24		413	25.65		1610	
	FOURTH			9	25.00		1	2.78		0	0.00					3	8.33		13	36.11					5	13.89			Excluded		5	13.89		36	
		TOTAL		689	42.80		73	4.53		34	2.11					61	3.79		122	7.58					213	13.23					418	25.96		1610	
	FIFTH			6	17.65		5	14.71			Excluded					3	8.82		9	26.47					3	8.82					8	23.53		34	
		TOTAL		695	43.17		78	4.84								64	3.98		131	8.14					216	13.42					426	26.46		1610	
	SIXTH			59	75.64			Excluded								7	8.97		5	6.41					6	7.69					1	1.28		78	
		TOTAL		754	46.83											71	4.41		136	8.45					222	13.79					427	26.52		1610	
	SEVENTH			15	11.03											36	26.47			Excluded					30	22.06					55	40.44		136	
		TOTAL		769	47.76											107	6.65								252	15.65					482	29.94		1610	
	EIGHTH			51	47.66												Excluded								25	23.36					31	28.97		107	
		TOTAL		820	50.93																				277	17.20					513	31.86		1610	
	NINTH			176	63.54																					Excluded					101	36.46		277	
		TOTAL		996	61.86																										614	38.14		1610	
				Elected																															
																																			
Yealering                                                      																																			
	FIRST			55	57.89		1	1.05		1	1.05		0	0.00		12	12.63		3	3.16		0	0.00		14	14.74		0	0.00		9	9.47		95	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		55	57.89		1	1.05		1	1.05		0	0.00		12	12.63		3	3.16					14	14.74		0	0.00		9	9.47		95	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		55	57.89		1	1.05		1	1.05					12	12.63		3	3.16					14	14.74		0	0.00		9	9.47		95	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		55	57.89		1	1.05		1	1.05					12	12.63		3	3.16					14	14.74					9	9.47		95	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					1	100.00		1	
		TOTAL		55	57.89		1	1.05								12	12.63		3	3.16					14	14.74					10	10.53		95	
	SIXTH			1	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		56	58.95											12	12.63		3	3.16					14	14.74					10	10.53		95	
	SEVENTH			0	0.00											1	33.33			Excluded					0	0.00					2	66.67		3	
		TOTAL		56	58.95											13	13.68								14	14.74					12	12.63		95	
	EIGHTH			10	76.92												Excluded								2	15.38					1	7.69		13	
		TOTAL		66	69.47																				16	16.84					13	13.68		95	
	NINTH			9	56.25																					Excluded					7	43.75		16	
		TOTAL		75	78.95																										20	21.05		95	
				Elected																															
																																			
Yerecoin                                                       																																			
	FIRST			77	71.96		1	0.93		2	1.87		0	0.00		3	2.80		1	0.93		0	0.00		16	14.95		0	0.00		7	6.54		107	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		77	71.96		1	0.93		2	1.87		0	0.00		3	2.80		1	0.93					16	14.95		0	0.00		7	6.54		107	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		77	71.96		1	0.93		2	1.87					3	2.80		1	0.93					16	14.95		0	0.00		7	6.54		107	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		77	71.96		1	0.93		2	1.87					3	2.80		1	0.93					16	14.95					7	6.54		107	
	FIFTH			0	0.00		0	0.00			Excluded					1	50.00		0	0.00					0	0.00					1	50.00		2	
		TOTAL		77	71.96		1	0.93								4	3.74		1	0.93					16	14.95					8	7.48		107	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					1	100.00		1	
		TOTAL		77	71.96											4	3.74		1	0.93					16	14.95					9	8.41		107	
	SEVENTH			0	0.00											1	100.00			Excluded					0	0.00					0	0.00		1	
		TOTAL		77	71.96											5	4.67								16	14.95					9	8.41		107	
	EIGHTH			1	20.00												Excluded								3	60.00					1	20.00		5	
		TOTAL		78	72.90																				19	17.76					10	9.35		107	
	NINTH			13	68.42																					Excluded					6	31.58		19	
		TOTAL		91	85.05																										16	14.95		107	
				Elected																															
																																			
Yorkrakine                                                     																																			
	FIRST			19	38.78		0	0.00		1	2.04		0	0.00		22	44.90		2	4.08		0	0.00		4	8.16		0	0.00		1	2.04		49	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		19	38.78		0	0.00		1	2.04		0	0.00		22	44.90		2	4.08					4	8.16		0	0.00		1	2.04		49	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		19	38.78		0	0.00		1	2.04					22	44.90		2	4.08					4	8.16		0	0.00		1	2.04		49	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		19	38.78		0	0.00		1	2.04					22	44.90		2	4.08					4	8.16					1	2.04		49	
	FIFTH			0	0.00		0	0.00			Excluded					1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		19	38.78		0	0.00								23	46.94		2	4.08					4	8.16					1	2.04		49	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		19	38.78											23	46.94		2	4.08					4	8.16					1	2.04		49	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					2	100.00		2	
		TOTAL		19	38.78											23	46.94								4	8.16					3	6.12		49	
	EIGHTH			22	95.65												Excluded								1	4.35					0	0.00		23	
		TOTAL		41	83.67																				5	10.20					3	6.12		49	
	NINTH			4	80.00																					Excluded					1	20.00		5	
		TOTAL		45	91.84																										4	8.16		49	
				Elected																															
																																			
Special Hospital Team 1                                        																																			
	FIRST			68	56.67		4	3.33		7	5.83		1	0.83		6	5.00		1	0.83		1	0.83		3	2.50		1	0.83		28	23.33		120	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		69	57.50		4	3.33		7	5.83		1	0.83		6	5.00		1	0.83					3	2.50		1	0.83		28	23.33		120	
	THIRD			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		70	58.33		4	3.33		7	5.83					6	5.00		1	0.83					3	2.50		1	0.83		28	23.33		120	
	FOURTH			0	0.00		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		70	58.33		4	3.33		7	5.83					7	5.83		1	0.83					3	2.50					28	23.33		120	
	FIFTH			1	14.29		0	0.00			Excluded					1	14.29		5	71.43					0	0.00					0	0.00		7	
		TOTAL		71	59.17		4	3.33								8	6.67		6	5.00					3	2.50					28	23.33		120	
	SIXTH			4	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		4	
		TOTAL		75	62.50											8	6.67		6	5.00					3	2.50					28	23.33		120	
	SEVENTH			0	0.00											2	33.33			Excluded					0	0.00					4	66.67		6	
		TOTAL		75	62.50											10	8.33								3	2.50					32	26.67		120	
	EIGHTH			6	60.00												Excluded								1	10.00					3	30.00		10	
		TOTAL		81	67.50																				4	3.33					35	29.17		120	
	NINTH			3	75.00																					Excluded					1	25.00		4	
		TOTAL		84	70.00																										36	30.00		120	
				Elected																															
																																			
Special Hospital Team 2                                        																																			
	FIRST			25	43.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.72		0	0.00		32	55.17		58	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		25	43.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	1.72		0	0.00		32	55.17		58	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		25	43.10		0	0.00		0	0.00					0	0.00		0	0.00					1	1.72		0	0.00		32	55.17		58	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		25	43.10		0	0.00		0	0.00					0	0.00		0	0.00					1	1.72					32	55.17		58	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		25	43.10		0	0.00								0	0.00		0	0.00					1	1.72					32	55.17		58	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		25	43.10											0	0.00		0	0.00					1	1.72					32	55.17		58	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		25	43.10											0	0.00								1	1.72					32	55.17		58	
	EIGHTH			0	0.00												Excluded								0	0.00					0	0.00		0	
		TOTAL		25	43.10																				1	1.72					32	55.17		58	
	NINTH			0	0.00																					Excluded					1	100.00		1	
		TOTAL		25	43.10																										33	56.90		58	
				Elected																															
																																			
Special Hospital Team 3                                        																																			
	FIRST			9	69.23		0	0.00		0	0.00		1	7.69		1	7.69		0	0.00		0	0.00		0	0.00		0	0.00		2	15.38		13	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		9	69.23		0	0.00		0	0.00		1	7.69		1	7.69		0	0.00					0	0.00		0	0.00		2	15.38		13	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00		1	
		TOTAL		9	69.23		0	0.00		0	0.00					1	7.69		0	0.00					0	0.00		1	7.69		2	15.38		13	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded		0	0.00		1	
		TOTAL		9	69.23		0	0.00		0	0.00					1	7.69		0	0.00					1	7.69					2	15.38		13	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		9	69.23		0	0.00								1	7.69		0	0.00					1	7.69					2	15.38		13	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		9	69.23											1	7.69		0	0.00					1	7.69					2	15.38		13	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		9	69.23											1	7.69								1	7.69					2	15.38		13	
	EIGHTH			1	100.00												Excluded								0	0.00					0	0.00		1	
		TOTAL		10	76.92																				1	7.69					2	15.38		13	
	NINTH			1	100.00																					Excluded					0	0.00		1	
		TOTAL		11	84.62																										2	15.38		13	
				Elected																															
																																			
Special Hospital Team 4                                        																																			
	FIRST			3	50.00		0	0.00		0	0.00		0	0.00		2	33.33		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		6	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	50.00		0	0.00		0	0.00		0	0.00		2	33.33		1	16.67					0	0.00		0	0.00		0	0.00		6	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	50.00		0	0.00		0	0.00					2	33.33		1	16.67					0	0.00		0	0.00		0	0.00		6	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		3	50.00		0	0.00		0	0.00					2	33.33		1	16.67					0	0.00					0	0.00		6	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		3	50.00		0	0.00								2	33.33		1	16.67					0	0.00					0	0.00		6	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		3	50.00											2	33.33		1	16.67					0	0.00					0	0.00		6	
	SEVENTH			1	100.00											0	0.00			Excluded					0	0.00					0	0.00		1	
		TOTAL		4	66.67											2	33.33								0	0.00					0	0.00		6	
	EIGHTH			2	100.00												Excluded								0	0.00					0	0.00		2	
		TOTAL		6	100.00																				0	0.00					0	0.00		6	
	NINTH			0	0.00																					Excluded					0	0.00		0	
		TOTAL		6	100.00																										0	0.00		6	
				Elected																															
																																			
Special Hospital Team 5                                        																																			
	FIRST			11	84.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	15.38		13	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		11	84.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		2	15.38		13	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		11	84.62		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00		2	15.38		13	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		11	84.62		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00					2	15.38		13	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		11	84.62		0	0.00								0	0.00		0	0.00					0	0.00					2	15.38		13	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		11	84.62											0	0.00		0	0.00					0	0.00					2	15.38		13	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		11	84.62											0	0.00								0	0.00					2	15.38		13	
	EIGHTH			0	0.00												Excluded								0	0.00					0	0.00		0	
		TOTAL		11	84.62																				0	0.00					2	15.38		13	
	NINTH			0	0.00																					Excluded					0	0.00		0	
		TOTAL		11	84.62																										2	15.38		13	
				Elected																															
																																			
Prison Mobile Team 1                                           																																			
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00					0	0.00		0	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		0	0.00		0	0.00								0	0.00		0	0.00					0	0.00					0	0.00		0	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		0	0.00											0	0.00		0	0.00					0	0.00					0	0.00		0	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		0	0.00											0	0.00								0	0.00					0	0.00		0	
	EIGHTH			0	0.00												Excluded								0	0.00					0	0.00		0	
		TOTAL		0	0.00																				0	0.00					0	0.00		0	
	NINTH			0	0.00																					Excluded					0	0.00		0	
		TOTAL		0	0.00																										0	0.00		0	
				Elected																															
																																			
Prison Mobile Team 2                                           																																			
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00		1	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00		1	100.00		1	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00					1	100.00		1	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		0	0.00		0	0.00								0	0.00		0	0.00					0	0.00					1	100.00		1	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		0	0.00											0	0.00		0	0.00					0	0.00					1	100.00		1	
